,board_name,path,path_length,probability
0,6_hard_full,"[[2, 0], [2, 2], [5, 0], [0, 0], [4, 4], [0, 3], [3, 4], [0, 2], [2, 3]]",9,0.005
1,6_hard_full,"[[2, 0], [4, 4], [2, 2], [2, 3], [2, 5]]",5,0.005
2,6_hard_full,"[[2, 2], [2, 3], [5, 5], [5, 3], [5, 2], [0, 3], [2, 4], [4, 3], [3, 2]]",9,0.005
3,6_hard_full,"[[3, 2], [4, 4], [2, 2], [0, 5]]",4,0.005
4,6_hard_full,"[[3, 2], [0, 0], [2, 2], [1, 0], [2, 4], [4, 4]]",6,0.005
5,6_hard_full,"[[2, 3], [0, 0], [2, 2], [4, 5], [2, 0], [2, 4], [4, 2], [1, 5]]",8,0.005
6,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 2], [0, 0], [2, 4], [1, 0], [3, 5], [3, 2], [4, 2]]",10,0.005
7,6_hard_full,"[[0, 3], [3, 0], [0, 2], [0, 5], [4, 3], [5, 3]]",6,0.005
8,6_hard_full,"[[3, 2], [0, 0], [2, 2], [4, 3], [2, 0], [5, 2], [0, 3], [5, 3], [3, 0]]",9,0.005
9,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [3, 4], [4, 4], [1, 4], [5, 5]]",8,0.005
10,6_hard_full,"[[2, 3], [0, 0], [2, 2], [4, 5], [2, 0], [2, 4], [4, 2], [2, 5], [4, 3]]",9,0.005
11,6_hard_full,"[[4, 2], [2, 3], [4, 4], [4, 3], [1, 4], [5, 3], [5, 0]]",7,0.005
12,6_hard_full,"[[2, 3], [5, 3], [5, 2], [2, 4], [4, 2], [3, 2], [4, 3], [2, 5]]",8,0.005
13,6_hard_full,"[[4, 2], [2, 3], [4, 4], [4, 3], [1, 4]]",5,0.005
14,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [4, 4], [2, 2], [0, 2], [5, 2]]",8,0.005
15,6_hard_full,"[[5, 3], [2, 2], [0, 5], [4, 4], [5, 2], [2, 4], [2, 5], [1, 5], [3, 4]]",9,0.005
16,6_hard_full,"[[2, 3], [2, 2], [1, 4], [4, 4], [3, 4], [3, 2], [3, 0]]",7,0.005
17,6_hard_full,"[[2, 2], [2, 4], [4, 2], [3, 2], [3, 0], [0, 3]]",6,0.005
18,6_hard_full,"[[3, 2], [4, 3], [2, 3], [2, 4], [1, 4], [0, 0], [5, 0], [2, 2]]",8,0.005
19,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [3, 4], [4, 4]]",6,0.005
20,6_hard_full,"[[2, 2], [0, 3], [2, 3], [0, 0], [2, 0], [0, 2], [1, 4], [0, 5]]",8,0.005
21,6_hard_full,"[[3, 2], [5, 2], [5, 3], [2, 2], [2, 0], [2, 4], [4, 2], [4, 4], [0, 0]]",9,0.005
22,6_hard_full,"[[2, 2], [5, 2], [5, 3], [2, 3], [0, 3], [4, 3], [4, 2]]",7,0.005
23,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 3]]",4,0.005
24,6_hard_full,"[[2, 2], [2, 3], [5, 5], [5, 3], [5, 2], [0, 3], [2, 4], [4, 3]]",8,0.005
