,board_name,path,path_length,probability
0,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2]]",6,1.0
1,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 0, 1], [4, 4, 2], [2, 4, 1]]",9,0.002
2,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [2, 5, 1], [0, 0, 2]]",8,0.022
3,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [2, 3, 1], [0, 0, 2], [1, 4, 1]]",9,0.02
4,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [5, 3, 1]]",7,0.056
5,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [5, 2, 1]]",7,0.042
6,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [2, 3, 1], [4, 4, 2]]",8,0.022
7,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [5, 2, 1], [4, 4, 2], [5, 0, 1]]",9,0.002
8,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 4, 1], [0, 0, 2], [4, 3, 1], [1, 4, 2]]",10,0.002
9,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [2, 4, 1], [4, 4, 2], [4, 3, 1], [5, 5, 2]]",10,0.002
10,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [1, 4, 1], [4, 4, 2], [2, 3, 1], [2, 4, 2]]",10,0.008
11,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 0, 1], [4, 4, 2], [4, 5, 1], [5, 5, 2]]",10,0.002
12,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 4, 1], [0, 0, 2], [4, 3, 1], [1, 0, 2]]",10,0.004
13,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [5, 2, 1], [4, 4, 2], [2, 0, 1]]",9,0.002
14,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [1, 5, 1], [4, 4, 2], [0, 0, 1]]",9,0.002
15,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 3, 1], [4, 4, 2]]",8,0.022
16,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 5, 1]]",7,0.038
17,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 0, 1], [4, 4, 2], [5, 3, 1]]",9,0.002
18,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 4, 1], [0, 0, 2], [4, 3, 1]]",9,0.018
19,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [3, 4, 1], [4, 4, 2], [1, 0, 1]]",9,0.002
20,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [1, 5, 1], [4, 4, 2], [1, 0, 1], [5, 5, 2]]",10,0.006
21,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [3, 5, 1], [0, 0, 2]]",8,0.022
22,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 5, 1], [4, 4, 2], [1, 4, 1]]",9,0.004
23,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [5, 3, 1], [4, 4, 2], [3, 5, 1]]",9,0.002
24,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [2, 4, 1], [4, 4, 2], [4, 0, 1], [5, 5, 2]]",10,0.002
