,heuristic,percent
0,density,12.5490196078
1,linear,3.52941176471
2,non-linear,9.80392156863
3,interaction,21.9607843137
4,blocking,52.1568627451
5,density,14.9019607843
6,linear,1.56862745098
7,non-linear,10.9803921569
8,interaction,22.3529411765
9,blocking,50.1960784314
10,density,12.9411764706
11,linear,1.96078431373
12,non-linear,10.9803921569
13,interaction,18.8235294118
14,blocking,55.2941176471
15,density,13.3333333333
16,linear,2.35294117647
17,non-linear,12.5490196078
18,interaction,17.2549019608
19,blocking,54.5098039216
20,density,12.5490196078
21,linear,3.52941176471
22,non-linear,10.1960784314
23,interaction,23.137254902
24,blocking,50.5882352941
25,density,10.5882352941
26,linear,2.74509803922
27,non-linear,8.23529411765
28,interaction,24.3137254902
29,blocking,54.1176470588
30,density,13.7254901961
31,linear,1.17647058824
32,non-linear,10.5882352941
33,interaction,20.3921568627
34,blocking,54.1176470588
35,density,12.5490196078
36,linear,3.13725490196
37,non-linear,12.5490196078
38,interaction,21.568627451
39,blocking,50.1960784314
40,density,12.5490196078
41,linear,3.92156862745
42,non-linear,10.1960784314
43,interaction,21.9607843137
44,blocking,51.3725490196
45,density,12.1568627451
46,linear,2.35294117647
47,non-linear,10.1960784314
48,interaction,20.0
49,blocking,55.2941176471
50,density,11.3725490196
51,linear,1.17647058824
52,non-linear,11.3725490196
53,interaction,22.7450980392
54,blocking,53.3333333333
55,density,12.9411764706
56,linear,1.96078431373
57,non-linear,9.01960784314
58,interaction,21.568627451
59,blocking,54.5098039216
60,density,14.5098039216
61,linear,2.74509803922
62,non-linear,11.7647058824
63,interaction,19.2156862745
64,blocking,51.7647058824
65,density,14.5098039216
66,linear,2.35294117647
67,non-linear,9.80392156863
68,interaction,18.8235294118
69,blocking,54.5098039216
70,density,12.5490196078
71,linear,2.35294117647
72,non-linear,11.3725490196
73,interaction,21.568627451
74,blocking,52.1568627451
75,density,14.1176470588
76,linear,1.56862745098
77,non-linear,9.41176470588
78,interaction,22.7450980392
79,blocking,52.1568627451
80,density,14.1176470588
81,linear,1.56862745098
82,non-linear,11.7647058824
83,interaction,19.6078431373
84,blocking,52.9411764706
85,density,13.3333333333
86,linear,2.74509803922
87,non-linear,10.5882352941
88,interaction,22.7450980392
89,blocking,50.5882352941
90,density,12.1568627451
91,linear,2.35294117647
92,non-linear,10.1960784314
93,interaction,21.568627451
94,blocking,53.7254901961
95,density,12.9411764706
96,linear,1.96078431373
97,non-linear,9.41176470588
98,interaction,20.0
99,blocking,55.6862745098
100,density,10.5882352941
101,linear,3.52941176471
102,non-linear,9.80392156863
103,interaction,24.7058823529
104,blocking,51.3725490196
105,density,12.5490196078
106,linear,2.74509803922
107,non-linear,10.5882352941
