board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,1250,50,1,"[[0.006211180124223602, 0.011180124223602485, 0.011180124223602485, 0.011180124223602485, -1e-05, 0.018633540372670808, -2e-05, 0.0, 0.009937888198757764, 0.006211180124223602], [0.011180124223602485, 0.0012422360248447205, 0.0012422360248447205, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.02360248447204969, 0.02360248447204969], [0.0012422360248447205, 0.011180124223602485, 0.0012422360248447205, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013664596273291925, 0.011180124223602485], [0.0012422360248447205, 0.006211180124223602, 0.03602484472049689, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.006211180124223602, 0.006211180124223602, -1e-05, 0.0012422360248447205, -2e-05, -2e-05, 0.006211180124223602, 0.011180124223602485, 0.018633540372670808], [-1e-05, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.02608695652173913, 0.0012422360248447205, 0.006211180124223602, 0.006211180124223602, 0.014906832298136646, 0.012422360248447204], [-1e-05, -1e-05, 0.018633540372670808, 0.018633540372670808, 0.018633540372670808, 0.03602484472049689, 0.006211180124223602, 0.012422360248447204, 0.006211180124223602, 0.012422360248447204], [-2e-05, -2e-05, 0.02857142857142857, 0.006211180124223602, 0.007453416149068323, 0.006211180124223602, -1e-05, 0.006211180124223602, 0.006211180124223602, 0.013664596273291925], [0.0012422360248447205, 0.0012422360248447205, 0.006211180124223602, 0.02857142857142857, 0.007453416149068323, 0.012422360248447204, -1e-05, 0.03850931677018633, 0.006211180124223602, 0.006211180124223602], [0.0012422360248447205, 0.0012422360248447205, 0.0012422360248447205, 0.2968944099378882, 0.018633540372670808, -2e-05, -2e-05, -2e-05, 0.007453416149068323, 0.0012422360248447205]]"
10_easy_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,241,20,1,"[[0.006622516556291391, 0.006622516556291391, 0.006622516556291391, 0.006622516556291391, -1e-05, -2e-05, -2e-05, 0.0, 0.013245033112582781, 0.013245033112582781], [0.006622516556291391, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.019867549668874173, 0.019867549668874173], [0.0, 0.006622516556291391, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013245033112582781, 0.019867549668874173], [0.0, 0.006622516556291391, 0.033112582781456956, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.006622516556291391, 0.006622516556291391, -1e-05, 0.0, -2e-05, -2e-05, 0.006622516556291391, 0.013245033112582781, -1e-05], [-1e-05, 0.006622516556291391, 0.006622516556291391, 0.006622516556291391, 0.033112582781456956, 0.0, 0.006622516556291391, 0.006622516556291391, 0.019867549668874173, 0.026490066225165563], [-1e-05, -1e-05, 0.019867549668874173, 0.019867549668874173, 0.019867549668874173, 0.033112582781456956, 0.006622516556291391, 0.019867549668874173, 0.006622516556291391, 0.026490066225165563], [-2e-05, -2e-05, 0.026490066225165563, 0.006622516556291391, 0.006622516556291391, 0.006622516556291391, -1e-05, 0.006622516556291391, 0.006622516556291391, 0.026490066225165563], [0.0, 0.0, 0.006622516556291391, 0.026490066225165563, 0.006622516556291391, 0.019867549668874173, -1e-05, 0.033112582781456956, 0.006622516556291391, 0.006622516556291391], [0.0, 0.0, 0.0, 0.304635761589404, 0.019867549668874173, -2e-05, -2e-05, -2e-05, 0.006622516556291391, 0.0]]"
10_hard_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,953,25,1,"[[0.003194888178913738, 0.001597444089456869, 0.01437699680511182, -2e-05, 0.003194888178913738, 0.004792332268370607, 0.006389776357827476, 0.004792332268370607, 0.006389776357827476, 0.004792332268370607], [0.3035143769968051, 0.006389776357827476, 0.006389776357827476, -1e-05, 0.006389776357827476, -2e-05, 0.006389776357827476, 0.006389776357827476, 0.004792332268370607, 0.003194888178913738], [0.003194888178913738, -2e-05, -2e-05, 0.019169329073482427, 0.006389776357827476, -1e-05, -1e-05, 0.020766773162939296, -2e-05, 0.003194888178913738], [0.012779552715654952, 0.01437699680511182, -2e-05, -1e-05, -2e-05, 0.01597444089456869, 0.006389776357827476, 0.004792332268370607, 0.004792332268370607, 0.003194888178913738], [0.02875399361022364, -1e-05, -1e-05, 0.01437699680511182, 0.03035143769968051, 0.03194888178913738, 0.011182108626198083, 0.007987220447284345, 0.003194888178913738, 0.004792332268370607], [0.03035143769968051, -1e-05, -1e-05, 0.020766773162939296, -2e-05, 0.006389776357827476, 0.007987220447284345, 0.01437699680511182, 0.006389776357827476, 0.003194888178913738], [0.001597444089456869, 0.03035143769968051, -1e-05, 0.01597444089456869, -2e-05, 0.006389776357827476, 0.006389776357827476, 0.004792332268370607, 0.006389776357827476, 0.006389776357827476], [0.006389776357827476, 0.01437699680511182, -1e-05, 0.012779552715654952, 0.011182108626198083, 0.006389776357827476, 0.006389776357827476, 0.006389776357827476, 0.003194888178913738, 0.003194888178913738], [0.006389776357827476, 0.01437699680511182, -2e-05, 0.023961661341853034, 0.007987220447284345, -2e-05, -2e-05, 0.003194888178913738, 0.003194888178913738, 0.003194888178913738], [0.006389776357827476, 0.006389776357827476, 0.007987220447284345, 0.006389776357827476, -1e-05, 0.009584664536741214, 0.006389776357827476, 0.006389776357827476, 0.006389776357827476, 0.003194888178913738]]"
10_hard_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,721,24,1,"[[0.00211864406779661, 0.0, 0.01694915254237288, -2e-05, 0.00211864406779661, 0.00423728813559322, 0.006355932203389831, 0.00423728813559322, 0.006355932203389831, 0.00423728813559322], [0.2457627118644068, 0.006355932203389831, 0.006355932203389831, -1e-05, 0.006355932203389831, -2e-05, 0.006355932203389831, 0.006355932203389831, 0.00423728813559322, 0.00211864406779661], [0.00211864406779661, -2e-05, -2e-05, 0.023305084745762712, -1e-05, -1e-05, -1e-05, 0.025423728813559324, -2e-05, 0.00211864406779661], [0.014830508474576272, 0.01694915254237288, -2e-05, -1e-05, -2e-05, 0.019067796610169493, 0.006355932203389831, 0.00423728813559322, 0.00423728813559322, 0.00211864406779661], [0.036016949152542374, -1e-05, -1e-05, 0.01694915254237288, 0.036016949152542374, 0.04025423728813559, 0.012711864406779662, 0.00847457627118644, 0.00211864406779661, 0.00423728813559322], [0.038135593220338986, -1e-05, -1e-05, 0.025423728813559324, -2e-05, 0.006355932203389831, 0.00847457627118644, 0.01694915254237288, 0.006355932203389831, 0.00211864406779661], [-2e-05, 0.038135593220338986, -1e-05, 0.019067796610169493, -2e-05, 0.006355932203389831, 0.006355932203389831, 0.00423728813559322, 0.006355932203389831, 0.006355932203389831], [0.006355932203389831, 0.01694915254237288, -1e-05, 0.014830508474576272, 0.012711864406779662, 0.006355932203389831, 0.006355932203389831, 0.006355932203389831, 0.00211864406779661, 0.00211864406779661], [0.006355932203389831, 0.01694915254237288, -2e-05, 0.029661016949152543, 0.00847457627118644, -2e-05, -2e-05, 0.00211864406779661, 0.00211864406779661, 0.00211864406779661], [0.006355932203389831, 0.006355932203389831, 0.00847457627118644, 0.006355932203389831, -1e-05, 0.01059322033898305, 0.006355932203389831, 0.006355932203389831, 0.006355932203389831, 0.00211864406779661]]"
6_easy_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,250,24,1,"[[0.006172839506172839, -1e-05, 0.05555555555555555, -2e-05, 0.006172839506172839, 0.06790123456790123], [0.006172839506172839, -2e-05, -1e-05, -1e-05, 0.05555555555555555, 0.05555555555555555], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.06172839506172839], [-2e-05, 0.2777777777777778, -1e-05, -1e-05, -2e-05, 0.05555555555555555], [-1e-05, 0.012345679012345678, -2e-05, -2e-05, 0.006172839506172839, 0.09876543209876543], [0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.08024691358024691]]"
6_easy_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,46,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.07142857142857142], [0.0, -2e-05, -1e-05, -1e-05, 0.03571428571428571, 0.03571428571428571], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.10714285714285714], [-2e-05, 0.32142857142857145, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.14285714285714285], [0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.10714285714285714]]"
6_hard_full,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,819,4,1,"[[0.14606741573033707, -2e-05, 0.011235955056179775, 0.02247191011235955, -1e-05, 0.009363295880149813], [0.00749063670411985, -2e-05, -1e-05, -2e-05, 0.1254681647940075, 0.00749063670411985], [0.0149812734082397, -1e-05, 0.149812734082397, 0.20411985018726592, 0.016853932584269662, 0.009363295880149813], [0.0018726591760299626, -1e-05, 0.00749063670411985, -2e-05, 0.013108614232209739, 0.011235955056179775], [0.016853932584269662, -1e-05, 0.10674157303370786, 0.018726591760299626, 0.020599250936329586, 0.013108614232209739], [0.024344569288389514, -2e-05, 0.0149812734082397, 0.018726591760299626, -2e-05, 0.00749063670411985]]"
6_hard_pruned,paths_non-linear_full_interactionNew,paths,False,True,2,square,2,True,294,3,1,"[[0.2727272727272727, -2e-05, 0.026737967914438502, -1e-05, -1e-05, 0.0213903743315508], [0.016042780748663103, -2e-05, -1e-05, -2e-05, 0.03208556149732621, 0.016042780748663103], [0.0481283422459893, -1e-05, 0.0374331550802139, 0.0427807486631016, 0.026737967914438502, 0.0213903743315508], [-2e-05, -1e-05, 0.0213903743315508, -2e-05, 0.03208556149732621, 0.026737967914438502], [0.0427807486631016, -1e-05, 0.06417112299465241, 0.0481283422459893, 0.058823529411764705, 0.03208556149732621], [0.016042780748663103, -2e-05, 0.0374331550802139, 0.0427807486631016, -2e-05, 0.016042780748663103]]"
10_easy_full,paths_non-linear_full_noInteraction,paths,False,False,2,square,2,True,1417,50,1,"[[0.005543237250554324, 0.009977827050997782, 0.009977827050997782, 0.009977827050997782, -1e-05, 0.02771618625277162, -2e-05, 0.0, 0.008869179600886918, 0.005543237250554324], [0.014412416851441241, 0.0011086474501108647, 0.0011086474501108647, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.02993348115299335, 0.02993348115299335], [0.0011086474501108647, 0.014412416851441241, 0.0011086474501108647, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.06208425720620843, 0.009977827050997782], [0.0011086474501108647, 0.005543237250554324, 0.038802660753880266, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.005543237250554324, 0.005543237250554324, -1e-05, 0.0011086474501108647, -2e-05, -2e-05, 0.005543237250554324, 0.009977827050997782, 0.02771618625277162], [-1e-05, 0.009977827050997782, 0.009977827050997782, 0.009977827050997782, 0.02771618625277162, 0.0011086474501108647, 0.005543237250554324, 0.005543237250554324, 0.014412416851441241, 0.011086474501108648], [-1e-05, -1e-05, 0.018847006651884702, 0.018847006651884702, 0.018847006651884702, 0.038802660753880266, 0.005543237250554324, 0.011086474501108648, 0.005543237250554324, 0.011086474501108648], [-2e-05, -2e-05, 0.026607538802660754, 0.005543237250554324, 0.0066518847006651885, 0.005543237250554324, -1e-05, 0.005543237250554324, 0.005543237250554324, 0.012195121951219513], [0.0011086474501108647, 0.0011086474501108647, 0.005543237250554324, 0.026607538802660754, 0.0066518847006651885, 0.011086474501108648, -1e-05, 0.043237250554323724, 0.005543237250554324, 0.005543237250554324], [0.0011086474501108647, 0.0011086474501108647, 0.0011086474501108647, 0.22727272727272727, 0.017738359201773836, -2e-05, -2e-05, -2e-05, 0.008869179600886918, 0.0011086474501108647]]"
10_easy_pruned,paths_non-linear_full_noInteraction,paths,False,False,2,square,2,True,244,20,1,"[[0.006493506493506494, 0.006493506493506494, 0.006493506493506494, 0.006493506493506494, -1e-05, -2e-05, -2e-05, 0.0, 0.012987012987012988, 0.012987012987012988], [0.006493506493506494, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.01948051948051948, 0.01948051948051948], [0.0, 0.006493506493506494, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.032467532467532464, 0.01948051948051948], [0.0, 0.006493506493506494, 0.032467532467532464, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.006493506493506494, 0.006493506493506494, -1e-05, 0.0, -2e-05, -2e-05, 0.006493506493506494, 0.012987012987012988, -1e-05], [-1e-05, 0.006493506493506494, 0.006493506493506494, 0.006493506493506494, 0.032467532467532464, 0.0, 0.006493506493506494, 0.006493506493506494, 0.01948051948051948, 0.025974025974025976], [-1e-05, -1e-05, 0.01948051948051948, 0.01948051948051948, 0.01948051948051948, 0.032467532467532464, 0.006493506493506494, 0.01948051948051948, 0.006493506493506494, 0.025974025974025976], [-2e-05, -2e-05, 0.025974025974025976, 0.006493506493506494, 0.006493506493506494, 0.006493506493506494, -1e-05, 0.006493506493506494, 0.006493506493506494, 0.025974025974025976], [0.0, 0.0, 0.006493506493506494, 0.025974025974025976, 0.006493506493506494, 0.01948051948051948, -1e-05, 0.032467532467532464, 0.006493506493506494, 0.006493506493506494], [0.0, 0.0, 0.0, 0.2987012987012987, 0.01948051948051948, -2e-05, -2e-05, -2e-05, 0.006493506493506494, 0.0]]"
