board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_full_opp,paths,False,False,1,full,2,True,2097,50,1,"[[0.0078397212543554, 0.01132404181184669, 0.01132404181184669, 0.01132404181184669, -1e-05, 0.013066202090592335, -2e-05, 0.0078397212543554, 0.01132404181184669, 0.0078397212543554], [0.013937282229965157, 0.0078397212543554, 0.0078397212543554, 0.0078397212543554, -2e-05, -1e-05, -1e-05, -1e-05, 0.013066202090592335, 0.013066202090592335], [0.0078397212543554, 0.013937282229965157, 0.0078397212543554, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07491289198606271, 0.009581881533101045], [0.0078397212543554, 0.0078397212543554, 0.012195121951219513, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0078397212543554, 0.0078397212543554, -1e-05, 0.006097560975609756, -2e-05, -2e-05, 0.0078397212543554, 0.012195121951219513, 0.013066202090592335], [-1e-05, 0.0078397212543554, 0.0078397212543554, 0.0078397212543554, 0.20209059233449478, 0.0078397212543554, 0.0078397212543554, 0.0078397212543554, 0.012195121951219513, 0.01132404181184669], [-1e-05, -1e-05, 0.013066202090592335, 0.013066202090592335, 0.013066202090592335, 0.01132404181184669, 0.0078397212543554, 0.009581881533101045, 0.0078397212543554, 0.01132404181184669], [-2e-05, -2e-05, 0.013066202090592335, 0.0078397212543554, 0.0078397212543554, 0.0078397212543554, -1e-05, 0.0078397212543554, 0.0078397212543554, 0.01132404181184669], [0.0078397212543554, 0.0078397212543554, 0.0078397212543554, 0.013066202090592335, 0.0078397212543554, 0.009581881533101045, -1e-05, 0.0156794425087108, 0.0078397212543554, 0.0078397212543554], [0.0078397212543554, 0.0078397212543554, 0.0078397212543554, 0.09407665505226481, 0.0156794425087108, -2e-05, -2e-05, -2e-05, 0.0078397212543554, 0.0078397212543554]]"
10_easy_pruned,paths_linear_full_opp,paths,False,False,1,full,2,True,429,20,1,"[[0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, -1e-05, -2e-05, -2e-05, 0.008695652173913044, 0.013043478260869565, 0.008695652173913044], [0.013043478260869565, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, -2e-05, -1e-05, -1e-05, -1e-05, 0.013043478260869565, 0.013043478260869565], [0.008695652173913044, 0.013043478260869565, 0.008695652173913044, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.02608695652173913, 0.013043478260869565], [0.008695652173913044, 0.008695652173913044, 0.013043478260869565, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.008695652173913044, 0.008695652173913044, -1e-05, 0.008695652173913044, -2e-05, -2e-05, 0.008695652173913044, 0.013043478260869565, -1e-05], [-1e-05, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.24347826086956523, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.013043478260869565, 0.017391304347826087], [-1e-05, -1e-05, 0.013043478260869565, 0.013043478260869565, 0.013043478260869565, 0.013043478260869565, 0.008695652173913044, 0.013043478260869565, 0.008695652173913044, 0.017391304347826087], [-2e-05, -2e-05, 0.013043478260869565, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, -1e-05, 0.008695652173913044, 0.008695652173913044, 0.017391304347826087], [0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.013043478260869565, 0.008695652173913044, 0.013043478260869565, -1e-05, 0.017391304347826087, 0.008695652173913044, 0.008695652173913044], [0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.06956521739130435, 0.013043478260869565, -2e-05, -2e-05, -2e-05, 0.008695652173913044, 0.008695652173913044]]"
10_hard_full,paths_linear_full_opp,paths,False,False,1,full,2,True,1816,25,1,"[[0.005385996409335727, 0.005385996409335727, 0.00718132854578097, -2e-05, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727], [0.01615798922800718, 0.005385996409335727, 0.005385996409335727, -1e-05, 0.005385996409335727, -2e-05, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727], [0.005385996409335727, -2e-05, -2e-05, 0.003590664272890485, 0.06642728904847396, -1e-05, -1e-05, 0.004488330341113106, -2e-05, 0.005385996409335727], [0.00718132854578097, 0.00807899461400359, -2e-05, -1e-05, -2e-05, 0.009874326750448833, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727], [0.06283662477558348, -1e-05, -1e-05, 0.17235188509874327, 0.12028725314183124, 0.06912028725314183, 0.00807899461400359, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727], [0.00718132854578097, -1e-05, -1e-05, 0.005385996409335727, -2e-05, 0.005385996409335727, 0.005385996409335727, 0.00718132854578097, 0.005385996409335727, 0.005385996409335727], [0.0008976660682226212, 0.009874326750448833, -1e-05, 0.0062836624775583485, -2e-05, 0.004488330341113106, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727], [0.005385996409335727, 0.008976660682226212, -1e-05, 0.00718132854578097, 0.010771992818671455, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727], [0.005385996409335727, 0.00807899461400359, -2e-05, 0.08258527827648116, 0.00807899461400359, -2e-05, -2e-05, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727], [0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, -1e-05, 0.00807899461400359, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727, 0.005385996409335727]]"
10_hard_pruned,paths_linear_full_opp,paths,False,False,1,full,2,True,1576,24,1,"[[0.005235602094240838, 0.005235602094240838, 0.007329842931937173, -2e-05, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838], [0.016753926701570682, 0.005235602094240838, 0.005235602094240838, -1e-05, 0.005235602094240838, -2e-05, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838], [0.005235602094240838, -2e-05, -2e-05, 0.0031413612565445027, -1e-05, -1e-05, -1e-05, 0.004188481675392671, -2e-05, 0.005235602094240838], [0.007329842931937173, 0.008376963350785341, -2e-05, -1e-05, -2e-05, 0.010471204188481676, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838], [0.07225130890052356, -1e-05, -1e-05, 0.19581151832460733, 0.1382198952879581, 0.0774869109947644, 0.008376963350785341, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838], [0.007329842931937173, -1e-05, -1e-05, 0.005235602094240838, -2e-05, 0.005235602094240838, 0.005235602094240838, 0.007329842931937173, 0.005235602094240838, 0.005235602094240838], [-2e-05, 0.010471204188481676, -1e-05, 0.0062827225130890054, -2e-05, 0.004188481675392671, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838], [0.005235602094240838, 0.009424083769633508, -1e-05, 0.007329842931937173, 0.011518324607329843, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838], [0.005235602094240838, 0.008376963350785341, -2e-05, 0.09424083769633508, 0.008376963350785341, -2e-05, -2e-05, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838], [0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, -1e-05, 0.008376963350785341, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838, 0.005235602094240838]]"
6_easy_full,paths_linear_full_opp,paths,False,False,1,full,2,True,351,24,1,"[[0.03255813953488372, -1e-05, 0.013953488372093023, -2e-05, 0.03255813953488372, 0.037209302325581395], [0.03255813953488372, -2e-05, -1e-05, -1e-05, 0.023255813953488372, 0.037209302325581395], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08837209302325581], [-2e-05, 0.30697674418604654, -1e-05, -1e-05, -2e-05, 0.013953488372093023], [-1e-05, 0.05581395348837209, -2e-05, -2e-05, 0.03255813953488372, 0.06046511627906977], [0.03255813953488372, 0.03255813953488372, 0.06046511627906977, 0.03255813953488372, 0.03255813953488372, 0.04186046511627907]]"
6_easy_pruned,paths_linear_full_opp,paths,False,False,1,full,2,True,91,12,1,"[[0.037037037037037035, -1e-05, -2e-05, -2e-05, 0.037037037037037035, 0.05555555555555555], [0.037037037037037035, -2e-05, -1e-05, -1e-05, 0.018518518518518517, 0.018518518518518517], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.12962962962962962], [-2e-05, 0.25925925925925924, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.05555555555555555, -2e-05, -2e-05, 0.037037037037037035, 0.07407407407407407], [0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.05555555555555555]]"
6_hard_full,paths_linear_full_opp,paths,False,False,1,full,2,True,404,4,1,"[[0.22393822393822393, -2e-05, 0.03474903474903475, 0.03861003861003861, -1e-05, 0.019305019305019305], [0.023166023166023165, -2e-05, -1e-05, -2e-05, 0.03088803088803089, 0.023166023166023165], [0.02702702702702703, -1e-05, 0.03088803088803089, 0.03861003861003861, 0.023166023166023165, 0.023166023166023165], [0.003861003861003861, -1e-05, 0.019305019305019305, -2e-05, 0.02702702702702703, 0.0888030888030888], [0.03474903474903475, -1e-05, 0.04247104247104247, 0.03861003861003861, 0.07335907335907337, 0.02702702702702703], [0.023166023166023165, -2e-05, 0.02702702702702703, 0.03474903474903475, -2e-05, 0.023166023166023165]]"
6_hard_pruned,paths_linear_full_opp,paths,False,False,1,full,2,True,307,3,1,"[[0.20100502512562815, -2e-05, 0.03015075376884422, -1e-05, -1e-05, 0.020100502512562814], [0.02512562814070352, -2e-05, -1e-05, -2e-05, 0.035175879396984924, 0.02512562814070352], [0.03015075376884422, -1e-05, 0.02512562814070352, 0.04020100502512563, 0.02512562814070352, 0.02512562814070352], [-2e-05, -1e-05, 0.01507537688442211, -2e-05, 0.03015075376884422, 0.11055276381909548], [0.04020100502512563, -1e-05, 0.04522613065326633, 0.04522613065326633, 0.08040201005025126, 0.03015075376884422], [0.02512562814070352, -2e-05, 0.03015075376884422, 0.04020100502512563, -2e-05, 0.02512562814070352]]"
10_easy_full,paths_non-linear_full_opp,paths,False,False,2,full,2,True,1459,50,1,"[[0.007882882882882882, 0.012387387387387387, 0.012387387387387387, 0.012387387387387387, -1e-05, 0.0033783783783783786, -2e-05, 0.007882882882882882, 0.012387387387387387, 0.007882882882882882], [0.007882882882882882, 0.007882882882882882, 0.007882882882882882, 0.007882882882882882, -2e-05, -1e-05, -1e-05, -1e-05, 0.0033783783783783786, 0.0033783783783783786], [0.007882882882882882, 0.007882882882882882, 0.007882882882882882, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.01463963963963964, 0.010135135135135136], [0.007882882882882882, 0.007882882882882882, 0.01463963963963964, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.007882882882882882, 0.007882882882882882, -1e-05, 0.007882882882882882, -2e-05, -2e-05, 0.007882882882882882, 0.013513513513513514, 0.0033783783783783786], [-1e-05, 0.007882882882882882, 0.007882882882882882, 0.007882882882882882, 0.02364864864864865, 0.007882882882882882, 0.007882882882882882, 0.007882882882882882, 0.012387387387387387, 0.012387387387387387], [-1e-05, -1e-05, 0.01463963963963964, 0.01463963963963964, 0.01463963963963964, 0.01463963963963964, 0.007882882882882882, 0.010135135135135136, 0.007882882882882882, 0.012387387387387387], [-2e-05, -2e-05, 0.01463963963963964, 0.007882882882882882, 0.007882882882882882, 0.007882882882882882, -1e-05, 0.007882882882882882, 0.007882882882882882, 0.012387387387387387], [0.007882882882882882, 0.007882882882882882, 0.007882882882882882, 0.01463963963963964, 0.007882882882882882, 0.010135135135135136, -1e-05, 0.01463963963963964, 0.007882882882882882, 0.007882882882882882], [0.007882882882882882, 0.007882882882882882, 0.007882882882882882, 0.35135135135135137, 0.021396396396396396, -2e-05, -2e-05, -2e-05, 0.007882882882882882, 0.007882882882882882]]"
10_easy_pruned,paths_non-linear_full_opp,paths,False,False,2,full,2,True,369,20,1,"[[0.009216589861751152, 0.009216589861751152, 0.009216589861751152, 0.009216589861751152, -1e-05, -2e-05, -2e-05, 0.009216589861751152, 0.013824884792626729, 0.009216589861751152], [0.009216589861751152, 0.009216589861751152, 0.009216589861751152, 0.009216589861751152, -2e-05, -1e-05, -1e-05, -1e-05, 0.004608294930875576, 0.004608294930875576], [0.009216589861751152, 0.009216589861751152, 0.009216589861751152, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.013824884792626729, 0.013824884792626729], [0.009216589861751152, 0.009216589861751152, 0.013824884792626729, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.009216589861751152, 0.009216589861751152, -1e-05, 0.009216589861751152, -2e-05, -2e-05, 0.009216589861751152, 0.013824884792626729, -1e-05], [-1e-05, 0.009216589861751152, 0.009216589861751152, 0.009216589861751152, 0.02304147465437788, 0.009216589861751152, 0.009216589861751152, 0.009216589861751152, 0.013824884792626729, 0.018433179723502304], [-1e-05, -1e-05, 0.013824884792626729, 0.013824884792626729, 0.013824884792626729, 0.013824884792626729, 0.009216589861751152, 0.013824884792626729, 0.009216589861751152, 0.018433179723502304], [-2e-05, -2e-05, 0.013824884792626729, 0.009216589861751152, 0.009216589861751152, 0.009216589861751152, -1e-05, 0.009216589861751152, 0.009216589861751152, 0.018433179723502304], [0.009216589861751152, 0.009216589861751152, 0.009216589861751152, 0.013824884792626729, 0.009216589861751152, 0.013824884792626729, -1e-05, 0.013824884792626729, 0.009216589861751152, 0.009216589861751152], [0.009216589861751152, 0.009216589861751152, 0.009216589861751152, 0.2903225806451613, 0.018433179723502304, -2e-05, -2e-05, -2e-05, 0.009216589861751152, 0.009216589861751152]]"
