board,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
10_easy_full,paths_linear_full_opp,paths,False,False,1,full,2,True,498,50,1,"[[0.010067114093959731, 0.010067114093959731, 0.010067114093959731, 0.010067114093959731, -1e-05, 0.003355704697986577, -2e-05, 0.010067114093959731, 0.013422818791946308, 0.010067114093959731], [0.013422818791946308, 0.010067114093959731, 0.010067114093959731, 0.010067114093959731, -2e-05, -1e-05, -1e-05, -1e-05, 0.013422818791946308, 0.013422818791946308], [0.010067114093959731, 0.013422818791946308, 0.010067114093959731, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.02348993288590604, 0.013422818791946308], [0.010067114093959731, 0.010067114093959731, 0.013422818791946308, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.010067114093959731, 0.010067114093959731, -1e-05, 0.010067114093959731, -2e-05, -2e-05, 0.010067114093959731, 0.013422818791946308, 0.003355704697986577], [-1e-05, 0.010067114093959731, 0.010067114093959731, 0.010067114093959731, 0.1912751677852349, 0.010067114093959731, 0.010067114093959731, 0.010067114093959731, 0.013422818791946308, 0.016778523489932886], [-1e-05, -1e-05, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.013422818791946308, 0.010067114093959731, 0.013422818791946308, 0.010067114093959731, 0.016778523489932886], [-2e-05, -2e-05, 0.013422818791946308, 0.010067114093959731, 0.010067114093959731, 0.010067114093959731, -1e-05, 0.010067114093959731, 0.010067114093959731, 0.016778523489932886], [0.010067114093959731, 0.010067114093959731, 0.010067114093959731, 0.013422818791946308, 0.010067114093959731, 0.013422818791946308, -1e-05, 0.016778523489932886, 0.010067114093959731, 0.010067114093959731], [0.010067114093959731, 0.010067114093959731, 0.010067114093959731, 0.05704697986577181, 0.013422818791946308, -2e-05, -2e-05, -2e-05, 0.010067114093959731, 0.010067114093959731]]"
10_easy_pruned,paths_linear_full_opp,paths,False,False,1,full,2,True,201,20,1,"[[0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, -1e-05, -2e-05, -2e-05, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176], [0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, -2e-05, -1e-05, -1e-05, -1e-05, 0.007352941176470588, 0.007352941176470588], [0.014705882352941176, 0.014705882352941176, 0.014705882352941176, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014705882352941176, 0.014705882352941176], [0.014705882352941176, 0.014705882352941176, 0.014705882352941176, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.014705882352941176, 0.014705882352941176, -1e-05, 0.014705882352941176, -2e-05, -2e-05, 0.014705882352941176, 0.014705882352941176, -1e-05], [-1e-05, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.03676470588235294, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.022058823529411766], [-1e-05, -1e-05, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.022058823529411766], [-2e-05, -2e-05, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, -1e-05, 0.014705882352941176, 0.014705882352941176, 0.022058823529411766], [0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, -1e-05, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176], [0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, -2e-05, -2e-05, -2e-05, 0.014705882352941176, 0.014705882352941176]]"
10_hard_full,paths_linear_full_opp,paths,False,False,1,full,2,True,1654,25,1,"[[0.005813953488372093, 0.005813953488372093, 0.007751937984496124, -2e-05, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093], [0.016472868217054265, 0.005813953488372093, 0.005813953488372093, -1e-05, 0.005813953488372093, -2e-05, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093], [0.005813953488372093, -2e-05, -2e-05, 0.003875968992248062, 0.0009689922480620155, -1e-05, -1e-05, 0.0048449612403100775, -2e-05, 0.005813953488372093], [0.007751937984496124, 0.00872093023255814, -2e-05, -1e-05, -2e-05, 0.01065891472868217, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093], [0.06782945736434108, -1e-05, -1e-05, 0.1821705426356589, 0.12887596899224807, 0.07267441860465117, 0.00872093023255814, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093], [0.007751937984496124, -1e-05, -1e-05, 0.005813953488372093, -2e-05, 0.005813953488372093, 0.005813953488372093, 0.007751937984496124, 0.005813953488372093, 0.005813953488372093], [0.0009689922480620155, 0.01065891472868217, -1e-05, 0.006782945736434108, -2e-05, 0.0048449612403100775, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093], [0.005813953488372093, 0.009689922480620155, -1e-05, 0.007751937984496124, 0.011627906976744186, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093], [0.005813953488372093, 0.00872093023255814, -2e-05, 0.08817829457364341, 0.00872093023255814, -2e-05, -2e-05, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093], [0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, -1e-05, 0.00872093023255814, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093, 0.005813953488372093]]"
10_hard_pruned,paths_linear_full_opp,paths,False,False,1,full,2,True,714,24,1,"[[0.005952380952380952, 0.005952380952380952, 0.00992063492063492, -2e-05, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952], [0.00992063492063492, 0.005952380952380952, 0.005952380952380952, -1e-05, 0.005952380952380952, -2e-05, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952], [0.005952380952380952, -2e-05, -2e-05, 0.001984126984126984, -1e-05, -1e-05, -1e-05, 0.001984126984126984, -2e-05, 0.005952380952380952], [0.007936507936507936, 0.00992063492063492, -2e-05, -1e-05, -2e-05, 0.011904761904761904, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952], [0.12301587301587301, -1e-05, -1e-05, 0.125, 0.12301587301587301, 0.12301587301587301, 0.011904761904761904, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952], [0.00992063492063492, -1e-05, -1e-05, 0.003968253968253968, -2e-05, 0.005952380952380952, 0.005952380952380952, 0.00992063492063492, 0.005952380952380952, 0.005952380952380952], [-2e-05, 0.015873015873015872, -1e-05, 0.007936507936507936, -2e-05, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952], [0.005952380952380952, 0.011904761904761904, -1e-05, 0.00992063492063492, 0.00992063492063492, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952], [0.005952380952380952, 0.00992063492063492, -2e-05, 0.027777777777777776, 0.00992063492063492, -2e-05, -2e-05, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952], [0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, -1e-05, 0.00992063492063492, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952]]"
6_easy_full,paths_linear_full_opp,paths,False,False,1,full,2,True,111,24,1,"[[0.0410958904109589, -1e-05, 0.0136986301369863, -2e-05, 0.0410958904109589, 0.0547945205479452], [0.0410958904109589, -2e-05, -1e-05, -1e-05, 0.0273972602739726, 0.0273972602739726], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1095890410958904], [-2e-05, 0.2054794520547945, -1e-05, -1e-05, -2e-05, 0.0136986301369863], [-1e-05, 0.0547945205479452, -2e-05, -2e-05, 0.0410958904109589, 0.0684931506849315], [0.0410958904109589, 0.0410958904109589, 0.0410958904109589, 0.0410958904109589, 0.0410958904109589, 0.0547945205479452]]"
6_easy_pruned,paths_linear_full_opp,paths,False,False,1,full,2,True,51,12,1,"[[0.05714285714285714, -1e-05, -2e-05, -2e-05, 0.05714285714285714, 0.05714285714285714], [0.05714285714285714, -2e-05, -1e-05, -1e-05, 0.02857142857142857, 0.02857142857142857], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.11428571428571428], [-2e-05, 0.05714285714285714, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.05714285714285714, -2e-05, -2e-05, 0.05714285714285714, 0.08571428571428572], [0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714]]"
6_hard_full,paths_linear_full_opp,paths,False,False,1,full,2,True,358,4,1,"[[0.1864406779661017, -2e-05, 0.038135593220338986, 0.00423728813559322, -1e-05, 0.0211864406779661], [0.025423728813559324, -2e-05, -1e-05, -2e-05, 0.03389830508474576, 0.025423728813559324], [0.029661016949152543, -1e-05, 0.03389830508474576, 0.0423728813559322, 0.025423728813559324, 0.025423728813559324], [0.00423728813559322, -1e-05, 0.0211864406779661, -2e-05, 0.029661016949152543, 0.09745762711864407], [0.038135593220338986, -1e-05, 0.046610169491525424, 0.0423728813559322, 0.08050847457627118, 0.029661016949152543], [0.025423728813559324, -2e-05, 0.029661016949152543, 0.038135593220338986, -2e-05, 0.025423728813559324]]"
6_hard_pruned,paths_linear_full_opp,paths,False,False,1,full,2,True,126,3,1,"[[0.1927710843373494, -2e-05, 0.012048192771084338, -1e-05, -1e-05, 0.012048192771084338], [0.03614457831325301, -2e-05, -1e-05, -2e-05, 0.060240963855421686, 0.03614457831325301], [0.03614457831325301, -1e-05, 0.03614457831325301, 0.03614457831325301, 0.04819277108433735, 0.03614457831325301], [-2e-05, -1e-05, 0.024096385542168676, -2e-05, 0.03614457831325301, 0.03614457831325301], [0.03614457831325301, -1e-05, 0.060240963855421686, 0.03614457831325301, 0.03614457831325301, 0.03614457831325301], [0.03614457831325301, -2e-05, 0.03614457831325301, 0.04819277108433735, -2e-05, 0.03614457831325301]]"
10_easy_full,paths_non-linear_full_opp,paths,False,False,2,full,2,True,438,50,1,"[[0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.010526315789473684, -1e-05, 0.0035087719298245615, -2e-05, 0.010526315789473684, 0.014035087719298246, 0.010526315789473684], [0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.010526315789473684, -2e-05, -1e-05, -1e-05, -1e-05, 0.007017543859649123, 0.007017543859649123], [0.010526315789473684, 0.010526315789473684, 0.010526315789473684, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.014035087719298246, 0.014035087719298246], [0.010526315789473684, 0.010526315789473684, 0.014035087719298246, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.010526315789473684, 0.010526315789473684, -1e-05, 0.010526315789473684, -2e-05, -2e-05, 0.010526315789473684, 0.014035087719298246, 0.0035087719298245615], [-1e-05, 0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.021052631578947368, 0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.014035087719298246, 0.017543859649122806], [-1e-05, -1e-05, 0.014035087719298246, 0.014035087719298246, 0.014035087719298246, 0.014035087719298246, 0.010526315789473684, 0.014035087719298246, 0.010526315789473684, 0.017543859649122806], [-2e-05, -2e-05, 0.014035087719298246, 0.010526315789473684, 0.010526315789473684, 0.010526315789473684, -1e-05, 0.010526315789473684, 0.010526315789473684, 0.017543859649122806], [0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.014035087719298246, 0.010526315789473684, 0.014035087719298246, -1e-05, 0.014035087719298246, 0.010526315789473684, 0.010526315789473684], [0.010526315789473684, 0.010526315789473684, 0.010526315789473684, 0.22456140350877193, 0.017543859649122806, -2e-05, -2e-05, -2e-05, 0.010526315789473684, 0.010526315789473684]]"
10_easy_pruned,paths_non-linear_full_opp,paths,False,False,2,full,2,True,198,20,1,"[[0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -1e-05, -2e-05, -2e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -2e-05, -1e-05, -1e-05, -1e-05, 0.007518796992481203, 0.007518796992481203], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.015037593984962405, 0.015037593984962405], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.015037593984962405, 0.015037593984962405, -1e-05, 0.015037593984962405, -2e-05, -2e-05, 0.015037593984962405, 0.015037593984962405, -1e-05], [-1e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.022556390977443608], [-1e-05, -1e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.022556390977443608], [-2e-05, -2e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -1e-05, 0.015037593984962405, 0.015037593984962405, 0.022556390977443608], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -1e-05, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405], [0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, 0.015037593984962405, -2e-05, -2e-05, -2e-05, 0.015037593984962405, 0.015037593984962405]]"
