,board,correct,inverse_computation,k,move_limit,noise,shutter_size
0,10_easy_full,0.36,0.00299266796349,10,30,0.05,0.0
1,10_easy_pruned,0.49,0.00295691770898,10,30,0.05,0.0
2,10_hard_full,0.17,0.00280449841546,10,30,0.05,0.0
3,10_hard_pruned,0.11,0.00280324054607,10,30,0.05,0.0
4,10_medium_full,0.08,0.00265477328236,10,30,0.05,0.0
5,10_medium_pruned,0.43,0.00262329485834,10,30,0.05,0.0
6,10_medium_pruned,0.59,0.00120724831891,10,30,0.05,0.5
7,6_easy_full,0.77,0.0149476831091,10,30,0.05,0.0
8,6_easy_full,0.87,0.00879584835957,10,30,0.05,0.5
9,6_easy_pruned,0.91,0.0147470874502,10,30,0.05,0.0
10,6_hard_full,0.11,0.0062790405626,10,30,0.05,0.0
11,6_hard_pruned,0.16,0.00722178089117,10,30,0.05,0.0
12,10_easy_full,0.36,0.00303158915904,10,30,0.1,0.0
13,10_easy_pruned,0.62,0.00293599530241,10,30,0.1,0.0
14,10_hard_full,0.15,0.0027975940691,10,30,0.1,0.0
15,10_hard_pruned,0.16,0.00283615530786,10,30,0.1,0.0
16,10_medium_full,0.08,0.00262047640261,10,30,0.1,0.0
17,10_medium_pruned,0.44,0.00254323499491,10,30,0.1,0.0
18,6_easy_full,0.75,0.0148588410104,10,30,0.1,0.0
19,6_easy_full,0.85,0.0090025207058,10,30,0.1,0.5
20,6_easy_pruned,0.93,0.0143657520471,10,30,0.1,0.0
21,6_hard_full,0.07,0.00628338045869,10,30,0.1,0.0
22,6_hard_pruned,0.09,0.00714949596053,10,30,0.1,0.0
23,10_easy_full,0.34,0.00305054757329,10,30,0.2,0.0
24,10_easy_pruned,0.48,0.00304571620016,10,30,0.2,0.0
25,10_hard_full,0.2,0.00280835767243,10,30,0.2,0.0
26,10_hard_pruned,0.12,0.00280418384229,10,30,0.2,0.0
27,10_medium_full,0.09,0.00264872596281,10,30,0.2,0.0
28,10_medium_pruned,0.49,0.00260220146244,10,30,0.2,0.0
29,6_easy_full,0.71,0.0149723012427,10,30,0.2,0.0
30,6_easy_full,0.86,0.00902608538677,10,30,0.2,0.5
31,6_easy_pruned,0.83,0.0148610491901,10,30,0.2,0.0
32,6_hard_full,0.18,0.0063682098962,10,30,0.2,0.0
33,6_hard_pruned,0.21,0.00706214689266,10,30,0.2,0.0
34,10_easy_full,0.3,0.00304099257998,10,30,0.3,0.0
35,10_easy_pruned,0.57,0.00297424305514,10,30,0.3,0.0
36,10_hard_full,0.25,0.00284066698861,10,30,0.3,0.0
37,10_hard_pruned,0.16,0.00276288887661,10,30,0.3,0.0
38,10_medium_full,0.1,0.00258524857165,10,30,0.3,0.0
39,10_medium_pruned,0.42,0.00256660335712,10,30,0.3,0.0
40,6_easy_full,0.78,0.0155690487311,10,30,0.3,0.0
41,6_easy_pruned,0.93,0.014883167138,10,30,0.3,0.0
42,6_hard_full,0.15,0.00632951452624,10,30,0.3,0.0
43,6_hard_pruned,0.15,0.00735348187367,10,30,0.3,0.0
44,10_easy_full,0.22,0.00197433366239,10,50,0.05,0.0
45,10_easy_full,0.33,0.000894382384245,10,50,0.05,0.5
46,10_easy_pruned,0.44,0.00199171446781,10,50,0.05,0.0
47,10_hard_full,0.24,0.00184719964534,10,50,0.05,0.0
48,10_hard_pruned,0.09,0.00185949644836,10,50,0.05,0.0
49,10_medium_full,0.1,0.00171570730033,10,50,0.05,0.0
50,10_medium_pruned,0.47,0.00167560321716,10,50,0.05,0.0
51,6_easy_full,0.75,0.0106450926123,10,50,0.05,0.0
52,6_easy_full,0.86,0.00564334085779,10,50,0.05,0.5
53,6_easy_pruned,0.89,0.00988044659619,10,50,0.05,0.0
54,6_hard_full,0.15,0.00408163265306,10,50,0.05,0.0
55,6_hard_pruned,0.13,0.00467136917831,10,50,0.05,0.0
56,10_easy_full,0.32,0.00200240288346,10,50,0.1,0.0
57,10_easy_pruned,0.48,0.00200988865217,10,50,0.1,0.0
58,10_hard_full,0.22,0.00184767746942,10,50,0.1,0.0
59,10_hard_pruned,0.07,0.00183614263156,10,50,0.1,0.0
60,10_medium_full,0.08,0.0017380120618,10,50,0.1,0.0
61,10_medium_pruned,0.35,0.00168429562757,10,50,0.1,0.0
