,board,correct,inverse_computation,k,move_limit,noise,shutter_size
0,10_easy_full,0.3,0.00295133252664,5,30,0.05,0.0
1,10_easy_pruned,0.46,0.00326413369892,5,30,0.05,0.0
2,10_hard_full,0.21,0.00272918315548,5,30,0.05,0.0
3,10_hard_pruned,0.15,0.00275375888087,5,30,0.05,0.0
4,10_medium_full,0.09,0.00260064495995,5,30,0.05,0.0
5,10_medium_pruned,0.39,0.00271105568508,5,30,0.05,0.0
6,6_easy_full,0.75,0.0146220207633,5,30,0.05,0.0
7,6_easy_pruned,0.91,0.016,5,30,0.05,0.0
8,6_easy_pruned,0.96,0.0101564086939,5,30,0.05,0.5
9,6_hard_full,0.24,0.00610128126907,5,30,0.05,0.0
10,6_hard_pruned,0.17,0.00673355329607,5,30,0.05,0.0
11,10_easy_full,0.36,0.00299266796349,10,30,0.05,0.0
12,10_easy_pruned,0.49,0.00295691770898,10,30,0.05,0.0
13,10_hard_full,0.17,0.00280449841546,10,30,0.05,0.0
14,10_hard_pruned,0.11,0.00280324054607,10,30,0.05,0.0
15,10_medium_full,0.08,0.00265477328236,10,30,0.05,0.0
16,10_medium_pruned,0.43,0.00262329485834,10,30,0.05,0.0
17,10_medium_pruned,0.59,0.00120724831891,10,30,0.05,0.5
18,6_easy_full,0.77,0.0149476831091,10,30,0.05,0.0
19,6_easy_full,0.87,0.00879584835957,10,30,0.05,0.5
20,6_easy_pruned,0.91,0.0147470874502,10,30,0.05,0.0
21,6_hard_full,0.11,0.0062790405626,10,30,0.05,0.0
22,6_hard_pruned,0.16,0.00722178089117,10,30,0.05,0.0
23,10_easy_full,0.34,0.00309023485785,5,30,0.1,0.0
24,10_easy_pruned,0.39,0.0031250976593,5,30,0.1,0.0
25,10_easy_pruned,0.51,0.00127637305832,5,30,0.1,1.0
26,10_hard_full,0.31,0.00283254022207,5,30,0.1,0.0
27,10_hard_pruned,0.16,0.00281483983561,5,30,0.1,0.0
28,10_medium_full,0.1,0.00258939900049,5,30,0.1,0.0
29,10_medium_pruned,0.32,0.00271392514994,5,30,0.1,0.0
30,6_easy_full,0.73,0.0148148148148,5,30,0.1,0.0
31,6_easy_pruned,0.84,0.0157232704403,5,30,0.1,0.0
32,6_easy_pruned,0.94,0.00999600159936,5,30,0.1,0.5
33,6_hard_full,0.2,0.00612444879961,5,30,0.1,0.0
34,6_hard_pruned,0.2,0.00653979465045,5,30,0.1,0.0
35,10_easy_full,0.36,0.00303158915904,10,30,0.1,0.0
36,10_easy_pruned,0.62,0.00293599530241,10,30,0.1,0.0
37,10_hard_full,0.15,0.0027975940691,10,30,0.1,0.0
38,10_hard_pruned,0.16,0.00283615530786,10,30,0.1,0.0
39,10_medium_full,0.08,0.00262047640261,10,30,0.1,0.0
40,10_medium_pruned,0.44,0.00254323499491,10,30,0.1,0.0
41,6_easy_full,0.75,0.0148588410104,10,30,0.1,0.0
42,6_easy_full,0.85,0.0090025207058,10,30,0.1,0.5
43,6_easy_pruned,0.93,0.0143657520471,10,30,0.1,0.0
44,6_hard_full,0.07,0.00628338045869,10,30,0.1,0.0
45,6_hard_pruned,0.09,0.00714949596053,10,30,0.1,0.0
46,10_easy_full,0.3,0.00302590171871,5,30,0.2,0.0
47,10_easy_pruned,0.51,0.00325330210163,5,30,0.2,0.0
48,10_hard_full,0.3,0.00276862593095,5,30,0.2,0.0
49,10_hard_pruned,0.23,0.00272583546857,5,30,0.2,0.0
50,10_medium_full,0.1,0.00258377903522,5,30,0.2,0.0
51,10_medium_pruned,0.32,0.0026774478567,5,30,0.2,0.0
52,6_easy_full,0.73,0.0145815106445,5,30,0.2,0.0
53,6_easy_pruned,0.94,0.0156274417878,5,30,0.2,0.0
54,6_hard_full,0.25,0.00612257393008,5,30,0.2,0.0
55,6_hard_pruned,0.19,0.00669657804862,5,30,0.2,0.0
56,10_easy_full,0.34,0.00305054757329,10,30,0.2,0.0
57,10_easy_pruned,0.48,0.00304571620016,10,30,0.2,0.0
58,10_hard_full,0.2,0.00280835767243,10,30,0.2,0.0
59,10_hard_pruned,0.12,0.00280418384229,10,30,0.2,0.0
60,10_medium_full,0.09,0.00264872596281,10,30,0.2,0.0
61,10_medium_pruned,0.49,0.00260220146244,10,30,0.2,0.0
62,6_easy_full,0.71,0.0149723012427,10,30,0.2,0.0
63,6_easy_full,0.86,0.00902608538677,10,30,0.2,0.5
64,6_easy_pruned,0.83,0.0148610491901,10,30,0.2,0.0
65,6_hard_full,0.18,0.0063682098962,10,30,0.2,0.0
66,6_hard_pruned,0.21,0.00706214689266,10,30,0.2,0.0
67,10_easy_full,0.26,0.00300039005071,5,30,0.3,0.0
68,10_easy_pruned,0.45,0.00308194902456,5,30,0.3,0.0
69,10_hard_full,0.18,0.00277031332244,5,30,0.3,0.0
70,10_hard_pruned,0.22,0.00274416179578,5,30,0.3,0.0
71,10_medium_full,0.1,0.00262460302879,5,30,0.3,0.0
72,10_medium_pruned,0.36,0.00270431067121,5,30,0.3,0.0
73,6_easy_full,0.81,0.0147058823529,5,30,0.3,0.0
74,6_easy_pruned,0.9,0.0162601626016,5,30,0.3,0.0
75,6_hard_full,0.26,0.00610724319042,5,30,0.3,0.0
76,6_hard_pruned,0.28,0.00669030574697,5,30,0.3,0.0
77,10_easy_full,0.3,0.00304099257998,10,30,0.3,0.0
78,10_easy_pruned,0.57,0.00297424305514,10,30,0.3,0.0
79,10_hard_full,0.25,0.00284066698861,10,30,0.3,0.0
80,10_hard_pruned,0.16,0.00276288887661,10,30,0.3,0.0
81,10_medium_full,0.1,0.00258524857165,10,30,0.3,0.0
82,10_medium_pruned,0.42,0.00256660335712,10,30,0.3,0.0
83,6_easy_full,0.78,0.0155690487311,10,30,0.3,0.0
84,6_easy_pruned,0.93,0.014883167138,10,30,0.3,0.0
85,6_hard_full,0.15,0.00632951452624,10,30,0.3,0.0
86,6_hard_pruned,0.15,0.00735348187367,10,30,0.3,0.0
87,10_easy_full,0.25,0.0019657565214,5,50,0.05,0.0
88,10_easy_pruned,0.5,0.00249569492625,5,50,0.05,0.0
89,10_hard_full,0.25,0.00186793686373,5,50,0.05,0.0
90,10_hard_pruned,0.15,0.00185807986027,5,50,0.05,0.0
91,10_medium_full,0.11,0.0017480989424,5,50,0.05,0.0
92,10_medium_pruned,0.34,0.00230308613542,5,50,0.05,0.0
93,10_medium_pruned,0.45,0.00108230964879,5,50,0.05,0.5
94,6_easy_full,0.73,0.00978186442336,5,50,0.05,0.0
95,6_easy_pruned,0.82,0.0144801621778,5,50,0.05,0.0
96,6_hard_full,0.29,0.00418077678833,5,50,0.05,0.0
97,6_hard_pruned,0.3,0.00450024751361,5,50,0.05,0.0
98,10_easy_full,0.22,0.00197433366239,10,50,0.05,0.0
99,10_easy_full,0.33,0.000894382384245,10,50,0.05,0.5
100,10_easy_pruned,0.44,0.00199171446781,10,50,0.05,0.0
101,10_hard_full,0.24,0.00184719964534,10,50,0.05,0.0
102,10_hard_pruned,0.09,0.00185949644836,10,50,0.05,0.0
103,10_medium_full,0.1,0.00171570730033,10,50,0.05,0.0
104,10_medium_pruned,0.47,0.00167560321716,10,50,0.05,0.0
105,6_easy_full,0.75,0.0106450926123,10,50,0.05,0.0
106,6_easy_full,0.86,0.00564334085779,10,50,0.05,0.5
107,6_easy_pruned,0.89,0.00988044659619,10,50,0.05,0.0
108,6_hard_full,0.15,0.00408163265306,10,50,0.05,0.0
109,6_hard_pruned,0.13,0.00467136917831,10,50,0.05,0.0
110,10_easy_full,0.22,0.00198180701163,5,50,0.1,0.0
111,10_easy_pruned,0.46,0.00267265341031,5,50,0.1,0.0
112,10_hard_full,0.29,0.0018437937901,5,50,0.1,0.0
113,10_hard_pruned,0.16,0.00187663032259,5,50,0.1,0.0
114,10_medium_full,0.11,0.00174596246181,5,50,0.1,0.0
115,10_medium_pruned,0.41,0.00234038569556,5,50,0.1,0.0
116,6_easy_full,0.77,0.00984348853234,5,50,0.1,0.0
117,6_easy_pruned,0.93,0.0148345942738,5,50,0.1,0.0
118,6_hard_full,0.42,0.00411742907728,5,50,0.1,0.0
119,6_hard_pruned,0.28,0.00455414882958,5,50,0.1,0.0
120,10_easy_full,0.32,0.00200240288346,10,50,0.1,0.0
121,10_easy_pruned,0.48,0.00200988865217,10,50,0.1,0.0
122,10_hard_full,0.22,0.00184767746942,10,50,0.1,0.0
123,10_hard_pruned,0.07,0.00183614263156,10,50,0.1,0.0
124,10_medium_full,0.08,0.0017380120618,10,50,0.1,0.0
