userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51E+12,108521,,,,,,,99999,,6.727,6.727,click,,2,,1.51E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51E+12,132856,,,,,,,99999,,6.582,6.582,click,,2,,1.51E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51E+12,153242,,,,,,,99999,,9.594,9.594,click,,2,,1.51E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51E+12,230808,,,,,,,-7.511044501,,11.236,13.037,undo,,6,,1.51E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51E+12,259607,,,,,,,1.766010488,,3.557,3.557,click,,4,,1.51E+12
17e120dd,6_hard_full,6,hard,full,solvedCorrect,reset,1.51E+12,448077,,,,,,,0,,48.487,48.487,click,,9,,1.51E+12
20bfd7bd,6_hard_full,6,hard,full,wrong,reset,1.51E+12,33692,,,,,,,20000,,5.87,5.87,click,,5,,1.51E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51E+12,66769,,,,,,,0,,7.05,7.05,click,,9,,1.51E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51E+12,91633,,,,,,,-10005.45712,,3.987,3.987,click,,3,,1.51E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51E+12,94893,,,,,,,99999,,2.026,2.026,click,,2,,1.51E+12
26dbf6e9,6_hard_full,6,hard,full,wrong,reset,1.51E+12,143135,,,,,,,99999,,48.242,50.268,reset,,0,,1.51E+12
32ebf2e8,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,37400,,,,,,,99999,,4.721,4.721,click,,2,,1.51E+12
32ebf2e8,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,91328,,,,,,,10007.15111,,9.9,9.9,click,,12,,1.51E+12
32ebf2e8,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,148439,,,,,,,-6.454377834,,6.009,6.009,click,,8,,1.51E+12
32ebf2e8,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,233131,,,,,,,0,,51.961,51.961,click,,9,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,63197,,,,,,,99999,,4.404,4.404,click,,2,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,113838,,,,,,,14.14,,5.078,5.078,click,,12,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,136195,,,,,,,-10001.37785,,4.387,4.387,click,,3,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,148682,,,,,,,-3.317121599,,2.683,2.683,click,,4,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,validatedCorrect,reset,1.51E+12,176051,,,,,,,-4.581632653,,5.299,5.299,click,,5,,1.51E+12
3df11bae,6_hard_full,6,hard,full,wrong,reset,1.51E+12,236009,,,,,,,10000.73785,,2.971,2.971,click,,9,,1.51E+12
3df11bae,6_hard_full,6,hard,full,wrong,reset,1.51E+12,288340,,,,,,,-10012.70875,,1.809,1.809,click,,6,,1.51E+12
3df11bae,6_hard_full,6,hard,full,wrong,reset,1.51E+12,435210,,,,,,,0,,71.838,71.838,click,,9,,1.51E+12
67eac875,6_hard_full,6,hard,full,wrong,reset,1.51E+12,142589,,,,,,,-0.109410431,,0.817,0.817,click,,16,,1.51E+12
67eac875,6_hard_full,6,hard,full,wrong,reset,1.51E+12,161480,,,,,,,20000,,9.184,9.184,click,,5,,1.51E+12
67eac875,6_hard_full,6,hard,full,wrong,reset,1.51E+12,171935,,,,,,,5.457121599,,1.804,1.804,click,,3,,1.51E+12
67eac875,6_hard_full,6,hard,full,wrong,reset,1.51E+12,176714,,,,,,,99999,,1.813,1.813,click,,2,,1.51E+12
67eac875,6_hard_full,6,hard,full,wrong,reset,1.51E+12,186576,,,,,,,20000,,1.645,1.645,click,,5,,1.51E+12
67eac875,6_hard_full,6,hard,full,wrong,reset,1.51E+12,195152,,,,,,,-5.946530612,,2.696,2.696,click,,3,,1.51E+12
67eac875,6_hard_full,6,hard,full,wrong,reset,1.51E+12,222652,,,,,,,-5.470521542,,4.643,4.643,click,,8,,1.51E+12
67eac875,6_hard_full,6,hard,full,wrong,reset,1.51E+12,245973,,,,,,,20000,,4.986,4.986,click,,7,,1.51E+12
69bad0fe,6_hard_full,6,hard,full,wrong,reset,1.51E+12,234641,,,,,,,-10010.58274,,4.985,4.985,click,,5,,1.51E+12
69bad0fe,6_hard_full,6,hard,full,wrong,reset,1.51E+12,244558,,,,,,,99999,,4.534,4.534,click,,2,,1.51E+12
69bad0fe,6_hard_full,6,hard,full,wrong,reset,1.51E+12,271103,,,,,,,-10002.08333,,3.386,3.386,click,,3,,1.51E+12
69bad0fe,6_hard_full,6,hard,full,wrong,reset,1.51E+12,289587,,,,,,,99999,,4.176,4.176,click,,2,,1.51E+12
69bad0fe,6_hard_full,6,hard,full,wrong,reset,1.51E+12,293847,,,,,,,99999,,2.02,2.02,click,,2,,1.51E+12
