action,delta_score
reset,-7.511044501
reset,1.766010488
reset,0
reset,20000
reset,0
reset,-10005.45712
reset,10007.15111
reset,-6.454377834
reset,0
reset,14.14
reset,-10001.37785
reset,-3.317121599
reset,-4.581632653
reset,10000.73785
reset,-10012.70875
reset,0
reset,-0.109410431
reset,20000
reset,5.457121599
reset,20000
reset,-5.946530612
reset,-5.470521542
reset,20000
reset,-10010.58274
reset,-10002.08333
reset,2.648161848
reset,0
reset,9988.72
reset,-2.330907029
reset,20000
reset,20000
reset,-10017.23764
reset,9991.569613
reset,0
reset,7.276734694
reset,-10008.43039
reset,20000
reset,-10008.43039
reset,0
reset,-10005.45712
reset,-10008.43039
reset,0
reset,-7.000521542
reset,2.387256236
reset,-0.400001417
reset,0
reset,0
reset,-10000.63549
reset,1.872745181
reset,-10001.96313
reset,1.947460317
reset,0
reset,9992.155622
reset,9986.904511
reset,2.387256236
reset,10010.40111
reset,3.29163407
reset,7.734377834
reset,9994.542878
reset,-10008.43039
reset,2.15163407
reset,7.734377834
reset,1.598368764
reset,-10005.45712
reset,-10001.96313
reset,9994.307256
reset,1.947460317
reset,-8.430386905
reset,-10000.71007
reset,4.264306973
reset,10000.44274
reset,-10007.69223
reset,-10000.94622
reset,0
reset,-6.221632653
reset,-10010.39
reset,0
reset,9994.307256
reset,9994.307256
reset,2.274897959
reset,-10001.96313
reset,-10001.37785
reset,0
reset,9992.791246
reset,0
reset,9992.791246
reset,-0.235622166
reset,10.62542092
reset,-10005.45712
reset,9986.904511
reset,-10008.43039
reset,0
reset,0
reset,20000
reset,0
reset,0
reset,-10005.45712
reset,-0.331632653
reset,9986.904511
reset,-10019.05712
reset,20000
reset,0
reset,10005.36111
reset,-10007.20875
reset,-10007.20875
reset,-10007.20875
reset,20000
reset,20000
reset,-10005.45712
reset,9992.155622
reset,0
reset,0
reset,-3.297464569
reset,0
reset,20000
reset,20000
reset,0
reset,-10000.63549
reset,-10001.37785
reset,-10008.43039
reset,-10000.55385
reset,0.111111111
reset,1.766010488
reset,-4.762152778
reset,-10008.43039
reset,1.121109694
reset,-10005.45712
reset,2.35600907
reset,1.472222222
reset,-4.138888889
reset,-10008.43039
reset,-10012.70875
reset,9998.25
reset,-7.025487528
reset,-3.317121599
reset,0.901112528
reset,-10000.36111
reset,2.387256236
reset,0
reset,9992.155622
reset,0
reset,-10002.79222
reset,9992.541246
reset,-10007.84438
reset,12.62836593
reset,10000.58333
reset,10.87673328
reset,0
reset,-10005.20712
reset,-10.87542092
reset,0
reset,9984.348887
reset,0
reset,9994.542878
reset,9992.155622
reset,9992.155622
reset,2.387256236
reset,9993.487776
reset,-10001.11111
reset,0
reset,-0.166666667
reset,-10007.84438
reset,9994.792878
reset,-10012.34764
reset,7.220002834
reset,9986.904511
reset,9986.904511
reset,9986.904511
reset,-10.19326531
reset,0
reset,-10005.59896
reset,-7.496530612
reset,0
reset,20000
reset,20000
reset,0
reset,-10007.45875
reset,-10000.47222
reset,10000
reset,-10000
reset,-8.225623583
reset,20000
reset,7.734377834
reset,2.545622166
reset,-21.72437642
reset,3.627776361
reset,4.680520125
reset,9984.348887
reset,-10005.59896
reset,-10005.59896
reset,0
reset,0
reset,0
reset,20000
reset,6.664376417
reset,9994.638889
reset,9989.569409
reset,-0.361111111
reset,-6.250521542
reset,0
reset,9998.262153
reset,-10000.47222
reset,-10000.48785
reset,-10001.54111
reset,-1.467434807
reset,-10005.20712
reset,-10007.20875
reset,9998.262153
reset,-10005.20712
reset,-10001.94385
reset,6.303265306
reset,9995.472766
reset,-10002.98401
reset,0
reset,-2.896718157
reset,-10000
reset,20000
reset,-10002.98401
reset,9985.554671
reset,0
reset,0
reset,20000
reset,0
reset,17.10190664
reset,-10005.10127
reset,0.625243764
reset,0
reset,9.252037026
reset,-10013.25472
reset,-10005.10127
reset,0
reset,17.10190664
reset,-10001.69444
reset,-10002.98401
reset,-10005.38748
reset,4.319444444
reset,-10002.25212
reset,0
reset,-10035.18233
reset,2.774182734
reset,-10027.09775
reset,0
reset,0
reset,17.10190664
reset,-10003.00255
reset,1.444444444
reset,-9.409525218
reset,-2.743856754
reset,-28.11914587
reset,9972.39305
reset,-10001.55318
reset,-6.447338452
reset,0
reset,0
reset,-10001.69444
reset,-10011.33705
reset,-10009.50204
reset,-10035.18233
reset,-10014.3185
reset,-10009.50204
reset,9990.497963
reset,-10014.3185
reset,0
reset,0
reset,0
reset,-10006.55974
reset,0
reset,32.27380053
reset,0
reset,0
reset,-7.412934126
reset,8.023861483
reset,15.89575964
reset,-10002.98401
reset,0
reset,-10001.53472
reset,9950.899569
reset,9.973381033
reset,-6.177825008
reset,0
reset,-10000.53137
reset,-10009.89088
reset,0
reset,9971.349482
reset,9971.349482
reset,9999.111111
reset,9999.75
reset,-1.00904668
reset,-0.758648915
reset,-10002.67858
reset,-10018.02993
reset,17.10190664
reset,-10010.11716
reset,-10005.10127
reset,0
reset,-10009.50204
reset,0
reset,-10009.50204
reset,0
reset,-10009.50204
reset,0
reset,0
reset,14.73112339
reset,-0.315482799
reset,9981.970073
reset,12.91431359
reset,-9994.62678
reset,0
reset,-12.05384495
reset,0
reset,3.051655329
reset,0
reset,9971.349482
reset,-0.211561808
reset,-10011.33705
reset,0
reset,-9992.940702
reset,-28.03031887
reset,9988.451389
reset,-1.586666667
reset,-28.25468442
reset,9988.451389
reset,-15.92766393
reset,0
reset,0
reset,19.34559336
reset,17.80008363
reset,20000
reset,20000
reset,0
reset,-10009.50204
reset,-10024.12954
reset,0
reset,0
reset,0
reset,10000
reset,-9999.364036
reset,0
reset,17.10190664
reset,17.10190664
reset,2.545863087
reset,-15.92766393
reset,9.312882636
reset,8.152824068
reset,-10012.72285
reset,6.970267379
reset,9971.349482
reset,-15.92766393
reset,17.10190664
reset,-0.211561808
reset,10.04427485
reset,3.220816796
reset,-6.305405815
reset,-10.13507604
reset,9.312882636
reset,-10002.67858
reset,-0.605511143
reset,0.05393471
reset,0.889377826
reset,-17.75928665
reset,9971.349482
reset,0
reset,20.22602843
reset,-10000.25
reset,17.10190664
reset,-0.441883025
reset,0
reset,0
reset,-17.75928665
reset,0
reset,-10011.33705
reset,20.73972081
reset,-24.66629866
reset,-15.92766393
reset,-15.92766393
reset,9997.975833
reset,11.94344483
reset,17.10190664
reset,3.220816796
reset,0
reset,0
reset,-10002.07511
reset,-2.222853822
reset,10019.6875
reset,-10003.91192
reset,-0.211561808
reset,1.663593132
reset,7.67281793
reset,9971.349482
reset,9988.451389
reset,0
reset,0
reset,-2.801111111
reset,-1.368861483
reset,-17.06397486
reset,-3.472853822
reset,-10005.10127
reset,22.355839
reset,1.272222222
reset,-31.65848968
reset,1.174242711
reset,-10012.72285
reset,-1.058687155
reset,-14.26717687
reset,0
reset,-17.75928665
reset,-17.75928665
reset,-10002.67858
reset,0
reset,4.005362812
reset,-10009.50204
reset,-9.890876303
reset,-10005.10127
reset,-2.741811677
reset,3.220816796
reset,-11.79203894
reset,-0.315482799
reset,-10011.7678
reset,-11.79203894
reset,-2.357298266
reset,11.67881851
reset,0
reset,-0.315482799
reset,-10009.50204
reset,0
reset,-10011.33705
reset,0
reset,-10012.72285
reset,0
reset,-10010.89123
reset,-10006.01789
reset,-25.42464286
reset,-10005.10127
reset,-10.94210224
reset,9971.349482
reset,-17.75928665
reset,-10005.10127
reset,6.481316132
reset,-10002.67858
reset,9971.349482
reset,9971.349482
reset,-11.54861111
reset,-7.849235163
reset,-11.54861111
reset,17.10190664
reset,-10004.26213
reset,0
reset,9997.916667
reset,-10000.58333
reset,0.111111111
reset,-0.443333333
reset,0
reset,0.583333333
reset,-9.138888889
reset,-0.253401361
reset,1.25
reset,-0.611111111
reset,-0.111111111
reset,7.416666667
reset,-10010.14
reset,0
reset,-0.611111111
reset,0
reset,0
reset,-1.111111111
reset,-10000.11111
reset,7.416666667
reset,-0.39
reset,-1.333333333
reset,10005.25
reset,0.583333333
reset,0
reset,9990.5
reset,0
reset,-10000.58333
reset,-10001.64
reset,-10000.7466
reset,4.861111111
reset,-10000.58333
reset,5.138888889
reset,4.611111111
reset,-5.138888889
reset,3.527777778
reset,-0.943333333
reset,-0.527777778
reset,-10000.36111
reset,4.11
reset,-0.582222222
reset,9990.138889
reset,9990.138889
reset,-1.333333333
reset,0
reset,0
reset,4.888888889
reset,-0.111111111
reset,-10000.58333
reset,-1.332743764
reset,0
reset,-0.638888889
reset,1.14
reset,-0.861111111
reset,-10000
reset,-10000
reset,-10000
reset,-1.833333333
reset,9990.5
reset,-10001.25
reset,-0.222222222
reset,-0.5
reset,0
reset,-1.333333333
reset,-10000.11111
reset,-10001.14
reset,-0.638888889
reset,0.111111111
reset,-10000.25
reset,-1.083333333
reset,-0.253401361
reset,20000
reset,-10000.5
reset,0
reset,-10000.63549
reset,-0.361111111
reset,-10000.5
reset,9999
reset,0.111111111
reset,-0.222222222
reset,-1.333333333
reset,1.944376417
reset,-0.39
reset,-10000
reset,-10000
reset,0
reset,9990.5
reset,0.611111111
reset,-10000.58333
reset,1.14
reset,-1.082743764
reset,-10000.11111
reset,-10005.25
reset,-1
reset,-1.083333333
reset,0
reset,0
reset,9990.138889
reset,20000
reset,0
reset,0.583333333
reset,0.777777778
reset,-0.5
reset,7.416666667
reset,-0.111111111
reset,9999
reset,-10000.5
reset,20000
reset,-0.388888889
reset,20000
reset,-9.028888889
reset,20000
reset,-5.611111111
reset,0
reset,-10.02888889
reset,-1
reset,-5.027777778
reset,-0.278888889
reset,0.553854875
reset,-5.75
reset,7.416666667
reset,-8
reset,0
reset,-8.388888889
reset,9998.888889
reset,-0.111111111
reset,-1.222222222
reset,7.416666667
reset,-1.361111111
reset,-0.443333333
reset,0
reset,-10.02888889
reset,0
reset,4.11
reset,-1.833333333
reset,-4.611111111
reset,-10000
reset,-4.406143707
reset,0
reset,0.442743764
reset,-0.638888889
reset,0
reset,0
reset,9999
reset,-0.443333333
reset,9990.5
reset,-1
reset,-0.5
reset,0
reset,0
reset,9989.86
reset,-10010.14
reset,-0.39
reset,9990.5
reset,9990.5
reset,9990.5
reset,-8.64
reset,9989.86
reset,-10005.61111
reset,-7.89
reset,-10000.36111
reset,9999
reset,-0.5
reset,0.11
reset,-10000.44274
reset,0
reset,9990.5
reset,-0.5
reset,-10001.64
reset,-10000.75
reset,-1.64
reset,-10000.5
reset,9999
reset,9999
reset,9999
reset,0
reset,0
reset,0
reset,-10000.75
reset,1.5
reset,0
reset,9990.5
reset,9990.5
reset,4.75
reset,4.75
reset,-10000.11111
reset,4.807256236
reset,0.75
reset,-0.5
reset,-0.75
reset,-10010.14
reset,-2
reset,-10001.5
reset,0.638888889
reset,9.39
reset,-10001.36111
reset,-10000.75
reset,-10000.25
reset,0
reset,0
reset,0
reset,-10001.64
reset,20000
reset,-10000.75
reset,-0.138888889
reset,-8.64
reset,-10001.33274
reset,-10005.25
reset,-10000.75
reset,9989.86
reset,9989.86
reset,0
reset,0
reset,-4.25
reset,-10001.5
reset,-10001.5
reset,9989.86
reset,9989.86
reset,-0.5
reset,-10000.75
reset,-0.5
reset,-0.39
reset,-4.388888889
reset,-10000.44274
reset,0
reset,20000
reset,-0.5
reset,-0.39
reset,-0.5
reset,0
reset,9990.5
reset,-10000.75
reset,0.75
reset,-0.5
reset,9990.5
reset,-0.75
reset,5.25
reset,-0.39
reset,-9998.638889
reset,0
reset,0
reset,-0.5
reset,0
reset,0
reset,0
reset,-0.5
reset,0
reset,0
reset,9990.5
reset,0
reset,9990.5
reset,9990.5
reset,0
reset,4.11
reset,-1.083333333
reset,0
reset,9998
reset,0
reset,-0.89
reset,-8.36
reset,-10001.64
reset,0
reset,-8.25
reset,-1.25
reset,0.5
reset,-1.25
reset,0
reset,-1
reset,-0.5
reset,0
reset,0
reset,0
reset,-8.14
reset,-9.14
reset,-8.166666667
reset,-0.5
reset,9990.5
reset,9990.5
reset,-2
reset,9999
reset,0
reset,-2
reset,0.138888889
reset,10001.78956
reset,-10002.47668
reset,-1.187006333
reset,0.444444444
reset,0.833515209
reset,-1.283443391
reset,2.861111111
reset,1.638463719
reset,-3.653306867
reset,-0.162465986
reset,-1.016581633
reset,1.725697749
reset,0
reset,0
reset,0.300871137
reset,0
reset,-3.130494606
reset,-2.111111111
reset,2.666848542
reset,2.416848542
reset,-2.501111111
reset,2.666848542
reset,1.048611111
reset,-4.00270596
reset,9975.50606
reset,1.638463719
reset,-2.25
reset,-1.201388889
reset,-4.214427438
reset,9980.388889
reset,-10015.73795
reset,3.286066699
reset,2.363004535
reset,0
reset,-4.214427438
reset,-1.048611111
reset,-0.861111111
reset,0
reset,-4.287965322
reset,0
reset,-9998.824921
reset,-2.685676012
reset,3.290974554
reset,-1.96287368
reset,-0.896344477
reset,2.954427907
reset,1.788073502
reset,-1.0625
reset,0.325517751
reset,0
reset,3.532020958
reset,0
reset,9996.777778
reset,1.638463719
reset,-10001.54006
reset,33.89589049
reset,0.183004535
reset,2.181423372
reset,1.048611111
reset,0
reset,1.048611111
reset,-10000.45498
reset,9997.826389
reset,-10010.54403
reset,-0.928280871
reset,13.02340086
reset,-5.229682037
reset,16.4440438
reset,3.819813395
reset,-4.83103926
reset,16.4440438
reset,16.57169827
reset,16.57169827
reset,-10004.7886
reset,16.84268657
reset,-14.84758262
reset,-20000
reset,-26.72842162
reset,-4.694421735
reset,-10005.74844
reset,-10000.77778
reset,-14.67646208
reset,9997.826389
reset,8.83426542
reset,0
reset,-0.939620181
reset,-0.298611111
reset,-2.173611111
reset,9975.50606
reset,9975.50606
reset,-5.962534014
reset,-2.25
reset,1.086414382
reset,-10001.39795
reset,0
reset,-10000
reset,-15.92448597
reset,-10003.37631
reset,-10001.98298
reset,-4.83103926
reset,-10002.8358
reset,-4.83103926
reset,-3.222222222
reset,9996.777778
reset,2.527959653
reset,-1.127870829
reset,-1.048611111
reset,18.02588435
reset,-0.113185941
reset,10.64712632
reset,-4.118890264
reset,0
reset,2.436234419
reset,1.696003401
reset,-0.00377551
reset,-4.336001053
reset,2.214540816
reset,-1.541039763
reset,2.048611111
reset,0.685521072
reset,-10002.17617
reset,-10000
reset,0.720391156
reset,-1.654982993
reset,1.494087771
reset,-0.298611111
reset,-0.437743764
reset,1.860332589
reset,4.935878651
reset,-0.366118659
reset,-10005.74844
reset,-10005.74844
reset,-10005.74844
reset,-10003.53202
reset,0
reset,-10000
reset,-15.92448597
reset,-15.18850857
reset,15.05090985
reset,0
reset,0
reset,-4.83103926
reset,-10001.98298
reset,-10001.98298
reset,0
reset,-15.59582055
reset,-10001.54006
reset,-10001.18243
reset,-10001.18243
reset,0
