userid,board_name,board_size,board_type,condition,sizeType,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,scoreByDeltaScore,deltaScoreByScore,delta_score_direction,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,reset,1.51E+12,259607,,7.458754252,,,,,-7.791245748,,-1.04457735,-1,,3.557,3.557,click,,4,,1.51E+12
17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,reset,1.51E+12,448077,,10000,,,,,0,,0,1,,48.487,48.487,click,,9,,1.51E+12
20bfd7bd,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,33692,,10000,,,,,20000,,2,1,,5.87,5.87,click,,5,,1.51E+12
26dbf6e9,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,66769,,10000,,,,,0,,0,1,,7.05,7.05,click,,9,,1.51E+12
26dbf6e9,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,91633,,-10000,,,,,-10005.45712,,1.000545712,-1,,3.987,3.987,click,,3,,1.51E+12
32ebf2e8,6_hard_full,6,hard,full,6hard,validatedCorrect,reset,1.51E+12,91328,,11,,,,,10011,,910.0909091,1,,9.9,9.9,click,,12,,1.51E+12
32ebf2e8,6_hard_full,6,hard,full,6hard,validatedCorrect,reset,1.51E+12,148439,,1.39,,,,,-6.454377834,,-4.643437291,-1,,6.009,6.009,click,,8,,1.51E+12
32ebf2e8,6_hard_full,6,hard,full,6hard,validatedCorrect,reset,1.51E+12,233131,,10000,,,,,0,,0,1,,51.961,51.961,click,,9,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,6hard,validatedCorrect,reset,1.51E+12,113838,,16.14,,,,,5.14,,0.318463445,1,,5.078,5.078,click,,12,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,6hard,validatedCorrect,reset,1.51E+12,136195,,-10000,,,,,-10001.37785,,1.000137785,-1,,4.387,4.387,click,,3,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,6hard,validatedCorrect,reset,1.51E+12,148682,,11,,,,,5.542878401,,0.503898036,1,,2.683,2.683,click,,4,,1.51E+12
38ebbf94,6_hard_full,6,hard,full,6hard,validatedCorrect,reset,1.51E+12,176051,,11,,,,,-4.25,,-0.386363636,-1,,5.299,5.299,click,,5,,1.51E+12
3df11bae,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,236009,,0.737847222,,,,,10000.73785,,13553.94118,1,,2.971,2.971,click,,9,,1.51E+12
3df11bae,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,288340,,-10000,,,,,-10012.70875,,1.001270875,-1,,1.809,1.809,click,,6,,1.51E+12
3df11bae,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,435210,,10000,,,,,0,,0,1,,71.838,71.838,click,,9,,1.51E+12
67eac875,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,142589,,0.333333333,,,,,-0.109410431,,-0.328231293,-1,,0.817,0.817,click,,16,,1.51E+12
67eac875,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,161480,,10000,,,,,20000,,2,1,,9.184,9.184,click,,5,,1.51E+12
67eac875,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,171935,,5.457121599,,,,,5.457121599,,1,1,,1.804,1.804,click,,3,,1.51E+12
67eac875,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,186576,,10000,,,,,20000,,2,1,,1.645,1.645,click,,5,,1.51E+12
67eac875,6_hard_full,6,hard,full,6hard,wrong,reset,1.51E+12,195152,,1.262223639,,,,,-5.946530612,,-4.711154528,-1,,2.696,2.696,click,,3,,1.51E+12
