solutionAndValidation,board_size,condition,board_type,solution
1,10,full,easy,
0,6,full,hard,
0,10,full,medium,
1,10,pruned,easy,
0,10,full,easy,
0,10,full,easy,
1,10,full,easy,
0,10,full,easy,
1,10,pruned,medium,
1,10,pruned,medium,
0,10,full,easy,
0,10,full,easy,
1,6,pruned,easy,
1,10,full,medium,
0,10,full,medium,
0,10,pruned,easy,
0,6,full,hard,
0,10,full,easy,
0,10,pruned,medium,
0,6,full,hard,
1,10,pruned,easy,
0,6,full,easy,
0,10,pruned,hard,
0,6,full,hard,
1,10,pruned,medium,
0,10,full,medium,
0,10,full,medium,
0,10,full,medium,
0,10,full,medium,
0,10,pruned,medium,
1,6,pruned,easy,
0,6,full,hard,
0,10,pruned,medium,
0,6,full,hard,
1,6,full,easy,
1,10,full,medium,
0,6,full,hard,
0,6,pruned,easy,
1,6,full,easy,
1,10,full,easy,
0,6,pruned,hard,
0,10,full,medium,
1,10,pruned,medium,
0,10,full,medium,
1,10,pruned,easy,
1,6,pruned,easy,
0,10,full,medium,
0,6,full,easy,
0,6,full,hard,
0,6,full,easy,
0,10,full,easy,
0,6,pruned,easy,
1,6,pruned,hard,
1,10,full,easy,
0,6,full,hard,
0,10,full,easy,
1,6,full,easy,
1,10,full,easy,
1,6,full,easy,
1,10,full,easy,
0,6,pruned,easy,
1,10,full,easy,
0,6,full,hard,
0,10,pruned,easy,
0,6,full,hard,
0,6,full,hard,
0,6,full,easy,
1,10,full,hard,
0,10,pruned,medium,
0,6,full,easy,
1,10,pruned,easy,
0,10,pruned,medium,
0,6,full,easy,
1,10,pruned,easy,
0,10,full,easy,
0,10,full,easy,
0,10,full,hard,
0,6,pruned,hard,
0,6,pruned,hard,
0,10,pruned,hard,
0,10,pruned,medium,
0,10,pruned,hard,
1,10,pruned,easy,
1,6,pruned,easy,
1,10,full,hard,
1,10,pruned,hard,
1,10,pruned,medium,
1,10,full,hard,
0,10,pruned,hard,
0,10,pruned,hard,
0,10,pruned,medium,
1,10,pruned,medium,
0,6,pruned,hard,
0,10,full,hard,
0,10,full,medium,
1,10,pruned,easy,
0,6,pruned,hard,
0,6,full,easy,
0,10,pruned,hard,
0,10,full,medium,
0,6,full,hard,
1,10,pruned,easy,
1,10,pruned,medium,
1,6,pruned,hard,
1,10,full,hard,
1,10,full,hard,
1,10,pruned,easy,
0,10,pruned,hard,
1,10,pruned,hard,
0,10,full,medium,
0,6,pruned,hard,
0,10,pruned,hard,
0,6,pruned,easy,
1,6,pruned,easy,
0,10,pruned,hard,
0,10,pruned,easy,
1,10,full,medium,
1,6,pruned,easy,
0,10,full,medium,
1,10,full,hard,
1,10,pruned,easy,
0,6,full,hard,
0,6,pruned,easy,
1,6,pruned,easy,
1,10,pruned,hard,
0,10,full,easy,
0,10,full,medium,
0,6,full,easy,
0,6,pruned,easy,
0,6,full,easy,
1,6,full,easy,
0,6,pruned,hard,
0,10,pruned,medium,
1,10,pruned,hard,
0,10,full,medium,
0,6,pruned,hard,
0,10,pruned,easy,
0,6,pruned,easy,
0,10,full,medium,
1,10,pruned,hard,
1,10,full,easy,
1,10,pruned,easy,
0,10,pruned,hard,
0,10,full,medium,
0,6,pruned,easy,
1,6,pruned,easy,
1,10,full,hard,
1,10,full,easy,
0,6,full,hard,
0,10,full,medium,
0,10,pruned,hard,
0,6,pruned,hard,
1,10,pruned,medium,
1,6,pruned,hard,
0,6,full,hard,
0,10,full,hard,
0,6,full,easy,
1,10,full,easy,
0,10,full,hard,
0,10,pruned,easy,
0,6,full,easy,
0,10,pruned,medium,
0,6,full,hard,
0,10,pruned,hard,
0,10,pruned,hard,
0,10,pruned,easy,
1,10,full,medium,
1,10,pruned,medium,
0,10,full,easy,
0,10,pruned,hard,
0,10,full,hard,
0,10,pruned,hard,
1,10,full,medium,
0,10,full,medium,
0,6,full,hard,
1,10,full,easy,
1,10,pruned,hard,
0,10,full,easy,
0,10,pruned,hard,
0,10,full,easy,
0,10,full,medium,
1,10,pruned,medium,
0,10,full,hard,
0,10,pruned,hard,
0,6,pruned,easy,
1,10,pruned,medium,
0,10,full,easy,
1,6,pruned,easy,
0,10,full,medium,
1,6,pruned,easy,
0,6,full,easy,
1,6,full,easy,
1,10,pruned,medium,
0,6,pruned,hard,
0,10,full,easy,
1,10,pruned,easy,
0,10,pruned,hard,
0,10,full,hard,
0,10,pruned,easy,
1,6,pruned,hard,
1,10,pruned,easy,
1,10,full,easy,
0,10,full,easy,
1,10,pruned,medium,
1,10,pruned,easy,
0,10,full,easy,
1,6,pruned,hard,
0,10,full,hard,
0,10,full,medium,
1,6,full,hard,
0,6,full,easy,
0,10,full,hard,
1,6,pruned,easy,
0,10,full,easy,
0,6,full,hard,
0,6,full,hard,
1,10,pruned,easy,
0,10,full,easy,
1,10,full,easy,
0,10,pruned,hard,
1,10,pruned,easy,
1,10,pruned,medium,
1,6,full,easy,
1,6,pruned,easy,
1,6,full,hard,
0,10,pruned,hard,
0,6,pruned,hard,
1,6,full,easy,
1,6,full,hard,
1,6,pruned,easy,
0,6,pruned,hard,
1,6,pruned,hard,
0,6,pruned,hard,
1,6,pruned,easy,
0,6,pruned,hard,
0,6,full,hard,
0,10,full,hard,
0,6,pruned,hard,
1,10,full,medium,
0,6,pruned,hard,
0,10,full,hard,
1,10,pruned,medium,
0,10,pruned,easy,
0,10,full,hard,
1,6,pruned,easy,
0,6,pruned,hard,
0,6,full,easy,
1,6,pruned,easy,
0,10,pruned,easy,
0,6,full,easy,
0,6,full,easy,
1,10,pruned,easy,
0,6,pruned,easy,
0,6,pruned,hard,
0,10,full,easy,
0,10,full,easy,
1,6,pruned,easy,
1,10,full,medium,
0,6,full,hard,
0,6,pruned,hard,
0,10,full,hard,
0,6,pruned,easy,
0,10,full,hard,
0,6,pruned,easy,
1,10,full,easy,
0,10,full,medium,
0,10,full,hard,
0,10,full,easy,
1,10,pruned,hard,
0,6,full,hard,
0,10,pruned,hard,
0,10,full,medium,
0,6,full,hard,
1,6,pruned,easy,
0,10,full,medium,
0,6,pruned,easy,
0,6,full,hard,
0,6,pruned,hard,
0,10,full,medium,
1,6,pruned,easy,
0,6,pruned,easy,
1,6,full,easy,
0,10,full,hard,
0,10,full,medium,
0,10,full,hard,
0,10,full,medium,
0,10,full,easy,
0,10,full,medium,
1,6,pruned,easy,
1,6,pruned,easy,
0,10,pruned,easy,
0,6,pruned,hard,
0,6,pruned,hard,
1,10,pruned,medium,
1,10,pruned,medium,
0,10,pruned,easy,
0,10,pruned,medium,
1,10,pruned,easy,
0,10,full,hard,
0,6,full,hard,
1,6,pruned,easy,
0,10,full,medium,
1,6,full,easy,
0,10,full,easy,
1,6,pruned,easy,
1,10,pruned,medium,
1,6,full,easy,
1,10,pruned,easy,
1,10,full,hard,
1,10,pruned,medium,
0,10,full,easy,
0,10,full,easy,
1,10,pruned,medium,
0,6,full,easy,
0,6,full,hard,
0,10,full,easy,
0,10,full,easy,
0,10,pruned,easy,
1,10,pruned,medium,
1,6,full,easy,
1,6,full,hard,
1,6,pruned,easy,
0,10,full,medium,
0,10,full,medium,
0,10,full,hard,
0,6,pruned,easy,
0,10,pruned,easy,
1,6,full,easy,
0,10,pruned,hard,
0,6,full,hard,
0,10,full,easy,
1,6,pruned,easy,
0,10,full,easy,
1,10,full,medium,
0,6,pruned,hard,
1,6,full,hard,
0,6,pruned,hard,
0,6,pruned,hard,
1,10,full,hard,
0,10,full,hard,
0,6,full,hard,
1,6,full,easy,
0,6,full,hard,
0,10,full,medium,
0,10,full,hard,
0,6,full,hard,
0,6,full,easy,
0,10,full,easy,
0,10,full,easy,
0,10,pruned,hard,
0,6,full,hard,
0,6,full,hard,
0,10,pruned,medium,
0,10,full,easy,
0,6,pruned,easy,
1,10,pruned,medium,
0,10,full,easy,
0,6,full,hard,
0,6,full,hard,
0,10,full,easy,
0,6,pruned,hard,
0,10,full,hard,
1,10,pruned,hard,
1,10,full,easy,
0,10,pruned,hard,
1,10,pruned,hard,
0,6,full,easy,
0,10,full,hard,
0,10,pruned,hard,
0,6,pruned,easy,
