possible_moves,board_name,time_rel,move_ranking,solved,top_score,userid,prev_action,score_move,player,time_between,position,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition,second_score
25,logs/6_hard_full_dec19,31896,3,solvedCorrect,4.215193452380952,17e120dd,,2.728560799319728,1,31.789,2_2,1511924180794,1511924149005,1,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,38903,23,solvedCorrect,0,17e120dd,click,-50001.166371882086,2,7.007,2_3,1511924187801,1511924180794,2,False,2,"6,hard,full",-0.1111111111111111
23,logs/6_hard_full_dec19,42025,2,solvedCorrect,50000.61892361111,17e120dd,click,3.9221889172335604,1,3.122,4_3,1511924190923,1511924187801,3,False,3,"6,hard,full",9.042743764172336
22,logs/6_hard_full_dec19,55344,18,solvedCorrect,-0.1111111111111111,17e120dd,click,-2.743923611111111,2,13.319,0_2,1511924204242,1511924190923,4,False,4,"6,hard,full",-0.1111111111111111
25,logs/6_hard_full_dec19,73415,0,solvedCorrect,4.215193452380952,17e120dd,undo,4.215193452380952,1,0.784,2_3,1511924222313,1511924221529,5,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,82451,22,solvedCorrect,0,17e120dd,click,-50001.166371882086,2,9.036,2_2,1511924231349,1511924222313,6,False,2,"6,hard,full",-0.16666666666666666
25,logs/6_hard_full_dec19,100546,10,solvedCorrect,4.215193452380952,17e120dd,undo,0.6889236111111112,1,8.669,0_2,1511924249444,1511924240775,7,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,101794,21,solvedCorrect,0,17e120dd,click,-6.547744472789115,2,1.248,2_2,1511924250692,1511924249444,8,False,2,"6,hard,full",-0.16666666666666666
25,logs/6_hard_full_dec19,118977,10,solvedCorrect,4.215193452380952,17e120dd,reset,0.6889236111111112,1,10.456,0_2,1511924267875,1511924257419,9,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,126274,21,solvedCorrect,0,17e120dd,click,-6.547744472789115,2,7.297,2_2,1511924275172,1511924267875,10,False,2,"6,hard,full",-0.16666666666666666
25,logs/6_hard_full_dec19,139821,3,solvedCorrect,4.215193452380952,17e120dd,reset,2.728560799319728,1,6.965,2_2,1511924288719,1511924281754,11,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,143648,23,solvedCorrect,0,17e120dd,click,-50001.166371882086,2,3.827,2_3,1511924292546,1511924288719,12,False,2,"6,hard,full",-0.1111111111111111
25,logs/6_hard_full_dec19,154101,2,solvedCorrect,4.215193452380952,17e120dd,reset,2.8463718820861676,1,0.859,0_3,1511924302999,1511924302140,13,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,157593,23,solvedCorrect,0,17e120dd,click,-5001.126666666666,2,3.492,3_0,1511924306491,1511924302999,14,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,181844,2,solvedCorrect,3.7293771258503403,17e120dd,click,2.728560799319728,1,24.251,2_2,1511924330742,1511924306491,15,False,3,"6,hard,full",3.6043771258503403
22,logs/6_hard_full_dec19,185912,21,solvedCorrect,0,17e120dd,click,-50000.680555555555,2,4.068,2_3,1511924334810,1511924330742,16,False,4,"6,hard,full",-0.05555555555555555
21,logs/6_hard_full_dec19,188612,3,solvedCorrect,50000.61892361111,17e120dd,click,3.9221889172335604,1,2.7,4_3,1511924337510,1511924334810,17,False,5,"6,hard,full",50000.555555555555
20,logs/6_hard_full_dec19,199556,18,solvedCorrect,-0.05555555555555555,17e120dd,click,-50000.61892361111,2,10.944,3_2,1511924348454,1511924337510,18,False,6,"6,hard,full",-0.1111111111111111
19,logs/6_hard_full_dec19,217771,12,solvedCorrect,50000.680555555555,17e120dd,click,0.16666666666666666,1,18.215,1_5,1511924366669,1511924348454,19,False,7,"6,hard,full",0.9019274376417233
25,logs/6_hard_full_dec19,231331,2,solvedCorrect,4.215193452380952,17e120dd,reset,2.8463718820861676,1,0.523,0_3,1511924380229,1511924379706,20,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,233693,6,solvedCorrect,0,17e120dd,click,-0.3177437641723356,2,2.362,4_0,1511924382591,1511924380229,21,False,2,"6,hard,full",-0.16666666666666666
24,logs/6_hard_full_dec19,235494,23,solvedCorrect,0,17e120dd,undo,-5001.126666666666,2,0.543,3_0,1511924384392,1511924383849,22,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,247671,0,solvedCorrect,3.7293771258503403,17e120dd,click,3.7293771258503403,1,12.177,2_3,1511924396569,1511924384392,23,False,3,"6,hard,full",3.6043771258503403
22,logs/6_hard_full_dec19,256050,20,solvedCorrect,0,17e120dd,click,-50001.166371882086,2,8.379,2_2,1511924404948,1511924396569,24,False,4,"6,hard,full",-0.16666666666666666
25,logs/6_hard_full_dec19,260933,2,solvedCorrect,4.215193452380952,17e120dd,reset,2.8463718820861676,1,1.326,0_3,1511924409831,1511924408505,25,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,261809,23,solvedCorrect,0,17e120dd,click,-5001.126666666666,2,0.876,3_0,1511924410707,1511924409831,26,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,264210,2,solvedCorrect,3.7293771258503403,17e120dd,click,2.728560799319728,1,2.401,2_2,1511924413108,1511924410707,27,False,3,"6,hard,full",3.6043771258503403
22,logs/6_hard_full_dec19,275549,21,solvedCorrect,0,17e120dd,click,-50000.680555555555,2,11.339,2_3,1511924424447,1511924413108,28,False,4,"6,hard,full",-0.05555555555555555
21,logs/6_hard_full_dec19,277817,3,solvedCorrect,50000.61892361111,17e120dd,click,3.9221889172335604,1,2.268,4_3,1511924426715,1511924424447,29,False,5,"6,hard,full",50000.555555555555
20,logs/6_hard_full_dec19,294437,18,solvedCorrect,-0.05555555555555555,17e120dd,click,-50000.61892361111,2,16.62,3_2,1511924443335,1511924426715,30,False,6,"6,hard,full",-0.1111111111111111
20,logs/6_hard_full_dec19,299296,19,solvedCorrect,-0.05555555555555555,17e120dd,undo,-50000.680555555555,2,0.369,4_2,1511924448194,1511924447825,31,False,6,"6,hard,full",-0.1111111111111111
19,logs/6_hard_full_dec19,307481,2,solvedCorrect,50000.61892361111,17e120dd,click,3.2561118197278907,1,8.185,2_4,1511924456379,1511924448194,32,False,7,"6,hard,full",50000.555555555555
18,logs/6_hard_full_dec19,328335,14,solvedCorrect,0,17e120dd,click,-0.6805555555555556,2,20.854,1_4,1511924477233,1511924456379,33,False,8,"6,hard,full",-0.05555555555555555
17,logs/6_hard_full_dec19,331996,8,solvedCorrect,50000.721371882086,17e120dd,click,0.18055555555555555,1,3.661,3_4,1511924480894,1511924477233,34,False,9,"6,hard,full",50000.5
21,logs/6_hard_full_dec19,355840,3,solvedCorrect,50000.61892361111,17e120dd,undo,3.9221889172335604,1,2.115,4_3,1511924504738,1511924502623,35,False,5,"6,hard,full",50000.555555555555
