position,solved,time_rel,userid,prev_action,board_name,player,time_between,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition
2_2,solvedCorrect,31896,17e120dd,,logs/6_hard_full_dec19,1,31.789,1511924180794,1511924149005,1,True,1,"6,hard,full"
2_3,solvedCorrect,38903,17e120dd,click,logs/6_hard_full_dec19,2,7.007,1511924187801,1511924180794,2,False,2,"6,hard,full"
4_3,solvedCorrect,42025,17e120dd,click,logs/6_hard_full_dec19,1,3.122,1511924190923,1511924187801,3,False,3,"6,hard,full"
0_2,solvedCorrect,55344,17e120dd,click,logs/6_hard_full_dec19,2,13.319,1511924204242,1511924190923,4,False,4,"6,hard,full"
2_3,solvedCorrect,73415,17e120dd,undo,logs/6_hard_full_dec19,1,0.784,1511924222313,1511924221529,5,True,1,"6,hard,full"
2_2,solvedCorrect,82451,17e120dd,click,logs/6_hard_full_dec19,2,9.036,1511924231349,1511924222313,6,False,2,"6,hard,full"
0_2,solvedCorrect,100546,17e120dd,undo,logs/6_hard_full_dec19,1,8.669,1511924249444,1511924240775,7,True,1,"6,hard,full"
2_2,solvedCorrect,101794,17e120dd,click,logs/6_hard_full_dec19,2,1.248,1511924250692,1511924249444,8,False,2,"6,hard,full"
0_2,solvedCorrect,118977,17e120dd,reset,logs/6_hard_full_dec19,1,10.456,1511924267875,1511924257419,9,True,1,"6,hard,full"
2_2,solvedCorrect,126274,17e120dd,click,logs/6_hard_full_dec19,2,7.297,1511924275172,1511924267875,10,False,2,"6,hard,full"
2_2,solvedCorrect,139821,17e120dd,reset,logs/6_hard_full_dec19,1,6.965,1511924288719,1511924281754,11,True,1,"6,hard,full"
2_3,solvedCorrect,143648,17e120dd,click,logs/6_hard_full_dec19,2,3.827,1511924292546,1511924288719,12,False,2,"6,hard,full"
0_3,solvedCorrect,154101,17e120dd,reset,logs/6_hard_full_dec19,1,0.859,1511924302999,1511924302140,13,True,1,"6,hard,full"
3_0,solvedCorrect,157593,17e120dd,click,logs/6_hard_full_dec19,2,3.492,1511924306491,1511924302999,14,False,2,"6,hard,full"
2_2,solvedCorrect,181844,17e120dd,click,logs/6_hard_full_dec19,1,24.251,1511924330742,1511924306491,15,False,3,"6,hard,full"
2_3,solvedCorrect,185912,17e120dd,click,logs/6_hard_full_dec19,2,4.068,1511924334810,1511924330742,16,False,4,"6,hard,full"
4_3,solvedCorrect,188612,17e120dd,click,logs/6_hard_full_dec19,1,2.7,1511924337510,1511924334810,17,False,5,"6,hard,full"
3_2,solvedCorrect,199556,17e120dd,click,logs/6_hard_full_dec19,2,10.944,1511924348454,1511924337510,18,False,6,"6,hard,full"
1_5,solvedCorrect,217771,17e120dd,click,logs/6_hard_full_dec19,1,18.215,1511924366669,1511924348454,19,False,7,"6,hard,full"
0_3,solvedCorrect,231331,17e120dd,reset,logs/6_hard_full_dec19,1,0.523,1511924380229,1511924379706,20,True,1,"6,hard,full"
4_0,solvedCorrect,233693,17e120dd,click,logs/6_hard_full_dec19,2,2.362,1511924382591,1511924380229,21,False,2,"6,hard,full"
3_0,solvedCorrect,235494,17e120dd,undo,logs/6_hard_full_dec19,2,0.543,1511924384392,1511924383849,22,False,2,"6,hard,full"
2_3,solvedCorrect,247671,17e120dd,click,logs/6_hard_full_dec19,1,12.177,1511924396569,1511924384392,23,False,3,"6,hard,full"
2_2,solvedCorrect,256050,17e120dd,click,logs/6_hard_full_dec19,2,8.379,1511924404948,1511924396569,24,False,4,"6,hard,full"
0_3,solvedCorrect,260933,17e120dd,reset,logs/6_hard_full_dec19,1,1.326,1511924409831,1511924408505,25,True,1,"6,hard,full"
3_0,solvedCorrect,261809,17e120dd,click,logs/6_hard_full_dec19,2,0.876,1511924410707,1511924409831,26,False,2,"6,hard,full"
2_2,solvedCorrect,264210,17e120dd,click,logs/6_hard_full_dec19,1,2.401,1511924413108,1511924410707,27,False,3,"6,hard,full"
2_3,solvedCorrect,275549,17e120dd,click,logs/6_hard_full_dec19,2,11.339,1511924424447,1511924413108,28,False,4,"6,hard,full"
4_3,solvedCorrect,277817,17e120dd,click,logs/6_hard_full_dec19,1,2.268,1511924426715,1511924424447,29,False,5,"6,hard,full"
3_2,solvedCorrect,294437,17e120dd,click,logs/6_hard_full_dec19,2,16.62,1511924443335,1511924426715,30,False,6,"6,hard,full"
4_2,solvedCorrect,299296,17e120dd,undo,logs/6_hard_full_dec19,2,0.369,1511924448194,1511924447825,31,False,6,"6,hard,full"
2_4,solvedCorrect,307481,17e120dd,click,logs/6_hard_full_dec19,1,8.185,1511924456379,1511924448194,32,False,7,"6,hard,full"
1_4,solvedCorrect,328335,17e120dd,click,logs/6_hard_full_dec19,2,20.854,1511924477233,1511924456379,33,False,8,"6,hard,full"
3_4,solvedCorrect,331996,17e120dd,click,logs/6_hard_full_dec19,1,3.661,1511924480894,1511924477233,34,False,9,"6,hard,full"
4_3,solvedCorrect,355840,17e120dd,undo,logs/6_hard_full_dec19,1,2.115,1511924504738,1511924502623,35,False,5,"6,hard,full"
1_0,solvedCorrect,369963,17e120dd,click,logs/6_hard_full_dec19,2,14.123,1511924518861,1511924504738,36,False,6,"6,hard,full"
0_2,solvedCorrect,381687,17e120dd,undo,logs/6_hard_full_dec19,2,4.932,1511924530585,1511924525653,37,False,6,"6,hard,full"
3_2,solvedCorrect,382983,17e120dd,click,logs/6_hard_full_dec19,1,1.296,1511924531881,1511924530585,38,False,7,"6,hard,full"
1_0,solvedCorrect,391166,17e120dd,click,logs/6_hard_full_dec19,2,8.183,1511924540064,1511924531881,39,False,8,"6,hard,full"
4_2,solvedCorrect,399590,17e120dd,click,logs/6_hard_full_dec19,1,8.424,1511924548488,1511924540064,40,False,9,"6,hard,full"
0_3,solvedCorrect,88573,18dac9ef,,logs/6_hard_full_dec19,1,88.555,1513540624280,1513540535725,1,True,1,"6,hard,full"
3_0,solvedCorrect,95754,18dac9ef,click,logs/6_hard_full_dec19,2,7.181,1513540631461,1513540624280,2,False,2,"6,hard,full"
0_5,solvedCorrect,111122,18dac9ef,click,logs/6_hard_full_dec19,1,15.368,1513540646829,1513540631461,3,False,3,"6,hard,full"
2_3,solvedCorrect,113257,18dac9ef,click,logs/6_hard_full_dec19,2,2.135,1513540648964,1513540646829,4,False,4,"6,hard,full"
0_2,solvedCorrect,114243,18dac9ef,click,logs/6_hard_full_dec19,1,0.986,1513540649950,1513540648964,5,False,5,"6,hard,full"
2_2,wrong,11065,20bfd7bd,,logs/6_hard_full_dec19,1,10.985,1511905552385,1511905541400,1,True,1,"6,hard,full"
