time_before,time_before_sec
6727,6.727
6582,6.582
9594,9.594
11236,11.236
3557,3.557
48487,48.487
5870,5.87
7050,7.05
3987,3.987
2026,2.026
48242,48.242
4721,4.721
9900,9.9
6009,6.009
51961,51.961
4404,4.404
5078,5.078
4387,4.387
2683,2.683
5299,5.299
2971,2.971
1809,1.809
71838,71.838
817,0.817
9184,9.184
1804,1.804
1813,1.813
1645,1.645
2696,2.696
4643,4.643
4986,4.986
4985,4.985
4534,4.534
3386,3.386
4176,4.176
2020,2.02
5678,5.678
5208,5.208
2137,2.137
4596,4.596
1363,1.363
2508,2.508
5025,5.025
828,0.828
878,0.878
2692,2.692
3649,3.649
7064,7.064
1641,1.641
3753,3.753
1163,1.163
102901,102.901
7391,7.391
9516,9.516
2114,2.114
1258,1.258
6962,6.962
1798,1.798
44477,44.477
1598,1.598
1703,1.703
5585,5.585
1699,1.699
4020,4.02
2063,2.063
1402,1.402
79716,79.716
1898,1.898
30016,30.016
735,0.735
56825,56.825
33434,33.434
1004,1.004
1381,1.381
2977,2.977
2245,2.245
2354,2.354
14678,14.678
3904,3.904
187801,187.801
6265,6.265
9866,9.866
1204,1.204
10205,10.205
1037,1.037
1519,1.519
3718,3.718
8960,8.96
19734,19.734
4621,4.621
23120,23.12
5089,5.089
1882,1.882
5319,5.319
4839,4.839
4829,4.829
3733,3.733
7158,7.158
6396,6.396
59252,59.252
29217,29.217
10998,10.998
6938,6.938
5465,5.465
1769,1.769
1497,1.497
1224,1.224
1904,1.904
18592,18.592
1068,1.068
8818,8.818
3225,3.225
30146,30.146
93702,93.702
16642,16.642
4433,4.433
3746,3.746
2226,2.226
11408,11.408
32970,32.97
12562,12.562
11922,11.922
5145,5.145
4522,4.522
6546,6.546
2250,2.25
9586,9.586
5026,5.026
2674,2.674
10434,10.434
2932,2.932
3698,3.698
1915,1.915
2855,2.855
1218,1.218
4243,4.243
927,0.927
2243,2.243
56396,56.396
30089,30.089
29642,29.642
11993,11.993
2105,2.105
9688,9.688
125395,125.395
25808,25.808
1886,1.886
5913,5.913
1801,1.801
2756,2.756
1159,1.159
2907,2.907
2373,2.373
3586,3.586
8033,8.033
3365,3.365
25387,25.387
5013,5.013
4594,4.594
3178,3.178
32789,32.789
5814,5.814
10494,10.494
4100,4.1
27971,27.971
898,0.898
3861,3.861
3857,3.857
4209,4.209
5167,5.167
952,0.952
950,0.95
953,0.953
791,0.791
2270,2.27
54518,54.518
6628,6.628
4433,4.433
234470,234.47
9475,9.475
14165,14.165
1330,1.33
8579,8.579
3512,3.512
12749,12.749
29922,29.922
1767,1.767
639,0.639
2554,2.554
5439,5.439
6097,6.097
8757,8.757
15714,15.714
8006,8.006
972,0.972
7594,7.594
1736,1.736
578,0.578
2189,2.189
516,0.516
225,0.225
191,0.191
3696,3.696
10739,10.739
3127,3.127
5706,5.706
14537,14.537
5411,5.411
1081,1.081
4672,4.672
3006,3.006
6804,6.804
3902,3.902
8320,8.32
1166,1.166
3481,3.481
7870,7.87
84272,84.272
1932,1.932
3045,3.045
3924,3.924
6736,6.736
2547,2.547
150222,150.222
2561,2.561
1186,1.186
4568,4.568
1871,1.871
3299,3.299
8033,8.033
3113,3.113
2917,2.917
4393,4.393
4761,4.761
2345,2.345
1029,1.029
1107,1.107
1273,1.273
1424,1.424
4830,4.83
9076,9.076
4600,4.6
174501,174.501
7291,7.291
96669,96.669
2505,2.505
1065,1.065
4009,4.009
8601,8.601
10713,10.713
1232,1.232
10419,10.419
5963,5.963
5568,5.568
1546,1.546
3381,3.381
45687,45.687
4185,4.185
9050,9.05
