time_before,time_before_sec
11627,11.627
1162,1.162
2027,2.027
2471,2.471
8709,8.709
717,0.717
1801,1.801
1258,1.258
4490,4.49
4575,4.575
14147,14.147
839,0.839
754,0.754
1414,1.414
6792,6.792
10247,10.247
6609,6.609
776,0.776
1458,1.458
183,0.183
176,0.176
172,0.172
3924,3.924
211,0.211
9284,9.284
5857,5.857
416,0.416
332,0.332
228,0.228
216,0.216
202,0.202
4199,4.199
23534,23.534
274,0.274
240,0.24
210,0.21
3640,3.64
352,0.352
196,0.196
167,0.167
141,0.141
181,0.181
4839,4.839
225,0.225
192,0.192
187,0.187
182,0.182
186,0.186
190,0.19
177,0.177
6506,6.506
215,0.215
339,0.339
200,0.2
1911,1.911
22483,22.483
220,0.22
172,0.172
185,0.185
2101,2.101
631,0.631
1044,1.044
1093,1.093
1630,1.63
6376,6.376
317,0.317
484,0.484
464,0.464
5844,5.844
189,0.189
172,0.172
149,0.149
4609,4.609
326,0.326
206,0.206
172,0.172
138,0.138
213,0.213
9563,9.563
488,0.488
623,0.623
3338,3.338
304,0.304
319,0.319
1587,1.587
233,0.233
2571,2.571
432,0.432
527,0.527
3746,3.746
1717,1.717
249,0.249
1253,1.253
861,0.861
2436,2.436
583,0.583
1940,1.94
4505,4.505
1386,1.386
228,0.228
4540,4.54
197,0.197
148,0.148
136,0.136
5662,5.662
1029,1.029
3350,3.35
2148,2.148
1002,1.002
1506,1.506
2966,2.966
3152,3.152
10257,10.257
251,0.251
1560,1.56
2443,2.443
2346,2.346
1529,1.529
2826,2.826
2779,2.779
6648,6.648
3888,3.888
7376,7.376
393,0.393
4506,4.506
709,0.709
2872,2.872
17776,17.776
1167,1.167
282,0.282
369,0.369
418,0.418
14437,14.437
346,0.346
828,0.828
796,0.796
4690,4.69
233,0.233
1810,1.81
2655,2.655
11661,11.661
6529,6.529
4903,4.903
300,0.3
779,0.779
4843,4.843
249,0.249
4864,4.864
314,0.314
724,0.724
1451,1.451
15915,15.915
11823,11.823
1485,1.485
336,0.336
301,0.301
325,0.325
5384,5.384
296,0.296
265,0.265
276,0.276
297,0.297
280,0.28
13844,13.844
265,0.265
235,0.235
226,0.226
221,0.221
238,0.238
8817,8.817
6702,6.702
335,0.335
263,0.263
776,0.776
1319,1.319
4113,4.113
794,0.794
19668,19.668
1507,1.507
545,0.545
582,0.582
505,0.505
2101,2.101
5034,5.034
2075,2.075
1603,1.603
1597,1.597
4186,4.186
4075,4.075
10636,10.636
664,0.664
13459,13.459
416,0.416
16494,16.494
16460,16.46
24674,24.674
13544,13.544
1236,1.236
1841,1.841
2013,2.013
1664,1.664
2333,2.333
20137,20.137
535,0.535
2171,2.171
586,0.586
3825,3.825
4069,4.069
1550,1.55
3249,3.249
810,0.81
13653,13.653
9977,9.977
2698,2.698
463,0.463
3144,3.144
9507,9.507
2720,2.72
265,0.265
10312,10.312
3701,3.701
2101,2.101
3987,3.987
147,0.147
3056,3.056
455,0.455
2906,2.906
1592,1.592
2372,2.372
128,0.128
1147,1.147
2653,2.653
117,0.117
1967,1.967
402,0.402
16452,16.452
656,0.656
1785,1.785
974,0.974
3199,3.199
664,0.664
1917,1.917
111,0.111
29052,29.052
874,0.874
9328,9.328
2311,2.311
5266,5.266
1295,1.295
5778,5.778
895,0.895
329,0.329
5458,5.458
692,0.692
