,board_state,player,probs_blocking,probs_density,probs_interaction
0,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 1, 0, 2, 0]]",1,"[[0.0071570108721088063, -2e-05, 0.017775045501050624, 0.19653277197707114, -1e-05, 0.0084102811627495278], [0.0082089360996629862, -2e-05, -1e-05, -2e-05, 0.019878895956158986, 0.0043153517504520263], [0.02531703891857125, -1e-05, 0.08737156909925288, 0.10865466452833357, 0.030103663955757889, 1.9990404605789218e-05], [0.15572683919153191, -1e-05, 0.11713842322596729, -2e-05, 0.041026391648875303, 1.9990404605789218e-05], [0.0082089360996629862, -1e-05, 0.091345216646338795, 0.062330489057325592, 1.9990404605789218e-05, 1.9990404605789218e-05], [0.0057252237568267278, -2e-05, -1e-05, 0.004673298529272547, -2e-05, 1.9990404605789218e-05]]","[[0.022231551077704921, -2e-05, 0.044443111750804058, 0.05554889208735362, -1e-05, 0.022231551077704921], [0.044443111750804058, -2e-05, -1e-05, -2e-05, 0.03333733141425449, 0.022231551077704921], [0.066654672423903188, -1e-05, 0.088866233097002326, 0.066654672423903188, 0.022231551077704921, 0.011125770741155356], [0.088866233097002326, -1e-05, 0.088866233097002326, -2e-05, 0.022231551077704921, 1.9990404605789221e-05], [0.066654672423903188, -1e-05, 0.077760452760452764, 0.05554889208735362, 0.011125770741155356, 1.9990404605789221e-05], [0.044443111750804058, -2e-05, -1e-05, 0.044443111750804058, -2e-05, 1.9990404605789221e-05]]","[[0.0095632148063213695, -2e-05, 0.023761056557030317, 0.098109099352433685, -1e-05, 0.011239017709514132], [0.010969790357853657, -2e-05, -1e-05, -2e-05, 0.026574207660094887, 0.0057635072400292918], [0.033845788126371387, -1e-05, 0.11682163348841587, 0.14528019775450726, 0.04024619528013202, 1.9990404605789224e-05], [0.03591697062600268, -1e-05, 0.15662420515790071, -2e-05, 0.054851455546496605, 1.9990404605789224e-05], [0.010969790357853653, -1e-05, 0.1221349726343291, 0.083338102484189797, 1.9990404605789224e-05, 1.9990404605789224e-05], [0.0076487091945135347, -2e-05, -1e-05, 0.0062421336429812494, -2e-05, 1.9990404605789224e-05]]"
1,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 1, 0, 2, 0]]",2,"[[0.26222809628148991, -2e-05, 0.040006726889512179, -2e-05, -1e-05, 1.9990804230054168e-05], [0.00031133314364923173, -2e-05, -1e-05, -2e-05, 0.00064364549954923117, 0.00067551106792320369], [0.00064364549954923117, -1e-05, 0.26222809628148991, 0.26222809628148991, 0.056840487261152262, 0.00031133314364923173], [1.9990804230054168e-05, -1e-05, 0.00287423528572731, -2e-05, 0.0040061002743708145, 0.0030091632066708159], [0.00031133314364923173, -1e-05, 0.02951840267042178, 0.02951840267042178, 0.042340379028259795, 0.00031133314364923173], [0.00031133314364923173, -2e-05, -1e-05, 0.00096685340734238145, -2e-05, 0.00067551106792320369]]","[[0.042105894446449368, -2e-05, 0.084191798088668696, -2e-05, -1e-05, 0.021062942625339708], [0.042105894446449368, -2e-05, -1e-05, -2e-05, 0.05262737035700419, 0.03158441853589454], [0.03158441853589454, -1e-05, 0.084191798088668696, 0.073670322178113853, 0.05262737035700419, 0.03158441853589454], [0.021062942625339708, -1e-05, 0.063148846267559039, -2e-05, 0.042105894446449368, 0.03158441853589454], [0.021062942625339708, -1e-05, 0.05262737035700419, 0.05262737035700419, 0.042105894446449368, 0.03158441853589454], [0.021062942625339708, -2e-05, -1e-05, 0.042105894446449368, -2e-05, 0.03158441853589454]]","[[0.30030457969532826, -2e-05, 0.016118581264225038, -2e-05, -1e-05, 1.9990804230054175e-05], [0.00035364034744238547, -2e-05, -1e-05, -2e-05, 0.00073420935766895087, 0.00077070227645779964], [0.00073420935766895087, -1e-05, 0.30030457969532826, 0.30030457969532826, 0.035777420881260118, 0.00035364034744238547], [1.9990804230054175e-05, -1e-05, 0.0032887136728883635, -2e-05, 0.0045849421482682699, 0.0034432351175885745], [0.00035364034744238547, -1e-05, 0.0058171516175443113, 0.0053427436732892781, 0.018791114105355815, 0.00035364034744238547], [0.00035364034744238547, -2e-05, -1e-05, 0.001104351819670131, -2e-05, 0.00077070227645779964]]"
2,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 2, 1, 0, 2, 0]]",1,"[[0.0, -2e-05, 0.0, -2e-05, -1e-05, 0.0], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.0, 1.0, 0.0, 0.0], [0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.0, -1e-05, 0.0, 0.0], [0.0, -2e-05, -1e-05, 0.0, -2e-05, 0.0]]","[[0.020629479729949746, -2e-05, 0.041238968256029199, -2e-05, -1e-05, 0.020629479729949746], [0.041238968256029199, -2e-05, -1e-05, -2e-05, 0.030934223992989472, 0.020629479729949746], [0.061848456782108645, -1e-05, 0.092762689571227838, 0.072153201045148371, 0.030934223992989472, 0.020629479729949746], [0.082457945308188105, -1e-05, 0.10306743383426754, -2e-05, 0.041238968256029199, 0.010324735466910021], [0.061848456782108645, -1e-05, 0.092762689571227838, -1e-05, 0.030934223992989472, 0.010324735466910021], [0.041238968256029199, -2e-05, -1e-05, 0.061848456782108645, -2e-05, 0.010324735466910021]]","[[0.0, -2e-05, 0.0, -2e-05, -1e-05, 0.0], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.0, 1.0, 0.0, 0.0], [0.0, -1e-05, 0.0, -2e-05, 0.0, 0.0], [0.0, -1e-05, 0.0, -1e-05, 0.0, 0.0], [0.0, -2e-05, -1e-05, 0.0, -2e-05, 0.0]]"
3,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 2, 1, 0, 2, 0]]",2,"[[0.36040384122824776, -2e-05, 0.05497852867129651, -2e-05, -1e-05, 0.00092095122758832193], [0.00092095122758832193, -2e-05, -1e-05, -2e-05, 0.0013213777271713456, 0.00092095122758832193], [0.00042041810310954248, -1e-05, 0.36040384122824776, -2e-05, 0.10035085533904894, 0.0018219108516501251], [1.999160352651886e-05, -1e-05, 0.0071131793050177167, -2e-05, 0.0057239445105460012, 0.0041283674892483423], [1.999160352651886e-05, -1e-05, 0.040563174686307664, -1e-05, 0.058185944932956521, 0.00042041810310954248], [1.999160352651886e-05, -2e-05, -1e-05, 0.00042041810310954248, -2e-05, 0.00092095122758832193]]","[[0.039607325319405452, -2e-05, 0.089091492464254129, -2e-05, -1e-05, 0.029710491890435717], [0.039607325319405452, -2e-05, -1e-05, -2e-05, 0.069297825606314672, 0.039607325319405452], [0.029710491890435717, -1e-05, 0.098988325893223872, -2e-05, 0.069297825606314672, 0.039607325319405452], [0.019813658461465988, -1e-05, 0.079194659035284401, -2e-05, 0.059400992177344916, 0.039607325319405452], [0.019813658461465988, -1e-05, 0.059400992177344916, -1e-05, 0.049504158748375188, 0.039607325319405452], [0.019813658461465988, -2e-05, -1e-05, 0.039607325319405452, -2e-05, 0.029710491890435717]]","[[0.41619483046561867, -2e-05, 0.022331587131410896, -2e-05, -1e-05, 0.0010604287006817491], [0.0010604287006817491, -2e-05, -1e-05, -2e-05, 0.0015228451883062958, 0.0010604287006817491], [0.00048240809115106568, -1e-05, 0.41619483046561867, -2e-05, 0.074727999344148324, 0.0021008657978369796], [1.9991603526518867e-05, -1e-05, 0.0082112750135924454, -2e-05, 0.0066069729136705472, 0.0047643847665543703], [1.9991603526518867e-05, -1e-05, 0.014519514732044526, -1e-05, 0.027075980294438751, 0.00048240809115106568], [1.9991603526518867e-05, -2e-05, -1e-05, 0.00048240809115106568, -2e-05, 0.0010604287006817491]]"
4,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 2, 1, 0], [0, 1, 0, 1, 0, 0], [0, 2, 1, 0, 2, 0]]",1,"[[1.9992003198720512e-05, -2e-05, 0.0023927872560320913, -2e-05, -1e-05, 1.9992003198720512e-05], [0.040171105127657342, -2e-05, -1e-05, -2e-05, 0.038553643224539344, 0.0011617298171643687], [0.0028568609593276526, -1e-05, 0.0081471506927463973, -2e-05, 0.038553643224539344, 0.34254133619289323], [0.0011617298171643687, -1e-05, 0.081368811248251169, -2e-05, -1e-05, 0.0015423090884862515], [0.040171105127657342, -1e-05, 0.34254133619289323, -1e-05, 0.055302936955415397, 0.0021966724274427537], [0.00040057127452060325, -2e-05, -1e-05, 0.00087629536367295657, -2e-05, 1.9992003198720512e-05]]","[[0.01942970384661669, -2e-05, 0.038839415690034663, -2e-05, -1e-05, 0.01942970384661669], [0.038839415690034663, -2e-05, -1e-05, -2e-05, 0.038839415690034663, 0.029134559768325678], [0.058249127533452641, -1e-05, 0.097068551220288582, -2e-05, 0.048544271611743656, 0.038839415690034663], [0.077658839376870611, -1e-05, 0.10677340714199757, -2e-05, -1e-05, 0.029134559768325678], [0.058249127533452641, -1e-05, 0.097068551220288582, -1e-05, 0.048544271611743656, 0.029134559768325678], [0.038839415690034663, -2e-05, -1e-05, 0.067953983455161626, -2e-05, 0.01942970384661669]]","[[1.9992003198720508e-05, -2e-05, 0.0029892421026654183, -2e-05, -1e-05, 1.9992003198720508e-05], [0.0074018101719219827, -2e-05, -1e-05, -2e-05, 0.0058540095881574284, 0.0014487310035967713], [0.0035699710501061219, -1e-05, 0.010190092739242176, -2e-05, 0.008778763458126183, 0.42864169212261405], [0.0014487310035967713, -1e-05, 0.059431722103084332, -2e-05, -1e-05, 0.0019249773370627883], [0.0074018101719219827, -1e-05, 0.42864169212261405, -1e-05, 0.027885164974295371, 0.0027438294512365006], [0.0004962383366647374, -2e-05, -1e-05, 0.0010915462534972587, -2e-05, 1.9992003198720508e-05]]"
5,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 2, 0, 0], [0, 1, 0, 2, 1, 0], [0, 1, 0, 1, 0, 0], [0, 2, 1, 0, 2, 0]]",2,"[[0.28465437661885906, -2e-05, 0.043426735995822661, -2e-05, -1e-05, 0.00073157836342683342], [0.00073157836342683342, -2e-05, -1e-05, -2e-05, 0.0017594247508734, 0.00073157836342683342], [0.00033625282979353867, -1e-05, -2e-05, -2e-05, 0.28465437661885906, 0.031329774666643842], [1.9992402886902979e-05, -1e-05, 0.0014431643239667638, -2e-05, -1e-05, 0.00073157836342683342], [0.00073157836342683342, -1e-05, 0.032041360627183775, -1e-05, 0.28465437661885906, 0.00033625282979353867], [1.9992402886902979e-05, -2e-05, -1e-05, 0.00033625282979353867, -2e-05, 0.031329774666643842]]","[[0.051546803967069822, -2e-05, 0.10307361553125276, -2e-05, -1e-05, 0.030936079341396659], [0.051546803967069822, -2e-05, -1e-05, -2e-05, 0.082462890905579581, 0.041241441654233241], [0.041241441654233241, -1e-05, -2e-05, -2e-05, 0.082462890905579581, 0.041241441654233241], [0.030936079341396659, -1e-05, 0.10307361553125276, -2e-05, -1e-05, 0.041241441654233241], [0.030936079341396659, -1e-05, 0.072157528592742992, -1e-05, 0.061852166279906411, 0.041241441654233241], [0.020630717028560071, -2e-05, -1e-05, 0.041241441654233241, -2e-05, 0.030936079341396659]]","[[0.31855580796383487, -2e-05, 0.016743122719836672, -2e-05, -1e-05, 0.00081633194178927287], [0.00081633194178927287, -2e-05, -1e-05, -2e-05, 0.0019666001646482518, 0.00081633194178927287], [0.00037392108684351175, -1e-05, -2e-05, -2e-05, 0.31855580796383487, 0.0063907087141058623], [1.9992402886902975e-05, -1e-05, 0.0016126714806916425, -2e-05, -1e-05, 0.00081633194178927287], [0.00081633194178927287, -1e-05, 0.0091707146954660059, -1e-05, 0.31855580796383487, 0.00037392108684351175], [1.9992402886902975e-05, -2e-05, -1e-05, 0.00037392108684351175, -2e-05, 0.003205350558496382]]"
6,"[[0, 2, 0, 2, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 2, 0, 1], [0, 1, 0, 2, 1, 0], [0, 1, 0, 1, 0, 0], [0, 2, 1, 0, 2, 0]]",1,"[[0.05555555555555555, -2e-05, 0.05555555555555555, -2e-05, -1e-05, 0.05555555555555555], [0.05555555555555555, -2e-05, -1e-05, -2e-05, 0.05555555555555555, 0.05555555555555555], [0.05555555555555555, -1e-05, -2e-05, -2e-05, 0.05555555555555555, -1e-05], [0.05555555555555555, -1e-05, 0.05555555555555555, -2e-05, -1e-05, 0.05555555555555555], [0.05555555555555555, -1e-05, 0.05555555555555555, -1e-05, 0.05555555555555555, 0.05555555555555555], [0.05555555555555555, -2e-05, -1e-05, 0.05555555555555555, -2e-05, 0.05555555555555555]]","[[0.020012795393658283, -2e-05, 0.040005597984725499, -2e-05, -1e-05, 0.030009196689191889], [0.040005597984725499, -2e-05, -1e-05, -2e-05, 0.059998400575792712, 0.050001999280259113], [0.059998400575792712, -1e-05, -2e-05, -2e-05, 0.06999480187132634, -1e-05], [0.079991203166859939, -1e-05, 0.10998040705346077, -2e-05, -1e-05, 0.050001999280259113], [0.059998400575792712, -1e-05, 0.099984005757927152, -1e-05, 0.059998400575792712, 0.040005597984725499], [0.040005597984725499, -2e-05, -1e-05, 0.06999480187132634, -2e-05, 0.020012795393658283]]","[[0.05555555555555555, -2e-05, 0.05555555555555555, -2e-05, -1e-05, 0.05555555555555555], [0.05555555555555555, -2e-05, -1e-05, -2e-05, 0.05555555555555555, 0.05555555555555555], [0.05555555555555555, -1e-05, -2e-05, -2e-05, 0.05555555555555555, -1e-05], [0.05555555555555555, -1e-05, 0.05555555555555555, -2e-05, -1e-05, 0.05555555555555555], [0.05555555555555555, -1e-05, 0.05555555555555555, -1e-05, 0.05555555555555555, 0.05555555555555555], [0.05555555555555555, -2e-05, -1e-05, 0.05555555555555555, -2e-05, 0.05555555555555555]]"
7,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",1,"[[1.9990404605789231e-05, -2e-05, 0.0043587360361162526, 0.048041185943121865, -1e-05, 0.0044737639453952061], [0.0020210966905682636, -2e-05, -1e-05, -2e-05, 0.05223790390391253, 0.0010696340229340096], [0.052223694442684827, -1e-05, 0.31491307590307194, -1e-05, 0.05223790390391253, 1.9990404605789231e-05], [0.038069571569003778, -1e-05, 0.31491307590307194, -2e-05, 0.050621671407440894, 1.9990404605789231e-05], [0.0020210966905682636, -1e-05, 0.016416856272218623, 0.008189506817047592, 1.9990404605789231e-05, 1.9990404605789231e-05], [0.035795343729292634, -2e-05, 0.0022559499873987172, 1.9990404605789231e-05, -2e-05, 1.9990404605789231e-05]]","[[0.021062521568594443, -2e-05, 0.052626318314577425, 0.063147583896571768, -1e-05, 0.031583787150588773], [0.042105052732583095, -2e-05, -1e-05, -2e-05, 0.052626318314577425, 0.031583787150588773], [0.063147583896571768, -1e-05, 0.10523264622454907, -1e-05, 0.042105052732583095, 0.021062521568594443], [0.073668849478566084, -1e-05, 0.094711380642554771, -2e-05, 0.031583787150588773, 0.010541255986600117], [0.052626318314577425, -1e-05, 0.063147583896571768, 0.042105052732583095, 0.010541255986600117, 0.010541255986600117], [0.031583787150588773, -2e-05, 0.031583787150588773, 0.021062521568594443, -2e-05, 1.9990404605789224e-05]]","[[1.9990404605789221e-05, -2e-05, 0.0055582142389423023, 0.021568847821609904, -1e-05, 0.0057050424614027229], [0.0025743172698338341, -2e-05, -1e-05, -2e-05, 0.026479170945153018, 0.0013598157362329881], [0.026461033173656837, -1e-05, 0.4019675898927656, -1e-05, 0.029668519191516873, 1.9990404605789221e-05], [0.0083938987272757851, -1e-05, 0.4019675898927656, -2e-05, 0.02537214026489604, 1.9990404605789221e-05], [0.0025743172698338337, -1e-05, 0.020949890672766567, 0.01044802983189928, 1.9990404605789221e-05, 1.9990404605789221e-05], [0.0059375522859592524, -2e-05, 0.0028740974912491455, 1.9990404605789221e-05, -2e-05, 1.9990404605789221e-05]]"
8,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 1, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",1,"[[0.00054750253312906493, -2e-05, 0.036220483199924665, 0.036220483199924665, -1e-05, 0.0033774414754899422], [0.0015285128656989091, -2e-05, -1e-05, -2e-05, 0.039384154052405321, 0.00081125839757857036], [0.2374002688087849, -1e-05, -1e-05, -1e-05, 0.2374002688087849, 1.9990804230054178e-05], [0.028703441063113764, -1e-05, 0.2374002688087849, -2e-05, 0.038165766806063886, 1.9990804230054178e-05], [0.0015285128656989089, -1e-05, 0.065832192618488342, 0.0061785321201766547, 1.9990804230054178e-05, 1.9990804230054178e-05], [0.026989027944191977, -2e-05, 0.0021919396063805729, 1.9990804230054178e-05, -2e-05, 1.9990804230054178e-05]]","[[0.030006197149311315, -2e-05, 0.059992403494392575, 0.069987805609419682, -1e-05, 0.030006197149311315], [0.04999700137936549, -2e-05, -1e-05, -2e-05, 0.059992403494392575, 0.030006197149311315], [0.069987805609419682, -1e-05, -1e-05, -1e-05, 0.04999700137936549, 0.020010795034284226], [0.079983207724446753, -1e-05, 0.10996941406952802, -2e-05, 0.040001599264338397, 0.010015392919257142], [0.059992403494392575, -1e-05, 0.069987805609419682, 0.04999700137936549, 0.020010795034284226, 0.010015392919257142], [0.030006197149311315, -2e-05, 0.030006197149311315, 0.020010795034284226, -2e-05, 1.9990804230054175e-05]]","[[0.0006507801240100248, -2e-05, 0.015597530177858858, 0.015237783143921841, -1e-05, 0.0040347717258582055], [0.0018238551600294087, -2e-05, -1e-05, -2e-05, 0.018705450880026547, 0.00096617478390000999], [0.28387518470521678, -1e-05, -1e-05, -1e-05, 0.28387518470521678, 1.9990804230054175e-05], [0.0059336406771672776, -1e-05, 0.28387518470521678, -2e-05, 0.017923666366824249, 1.9990804230054175e-05], [0.0018238551600294084, -1e-05, 0.051356586495751588, 0.0073842670367809194, 1.9990804230054175e-05, 1.9990804230054175e-05], [0.0041989700477723596, -2e-05, 0.0026171692790384021, 1.9990804230054175e-05, -2e-05, 1.9990804230054175e-05]]"
9,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 1, 0, 0], [0, 1, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",1,"[[0.00032950111751819375, -2e-05, 0.13929945234542379, 0.021260109027957205, -1e-05, 0.021876760156934263], [0.016346639148796849, -2e-05, -1e-05, -2e-05, 0.13929945234542379, 0.00048425607434214205], [0.13929945234542379, -1e-05, -1e-05, -1e-05, 0.13929945234542379, 0.017417833615562615], [0.016849592758474679, -1e-05, -1e-05, -2e-05, 0.022401476182415461, 1.9991203870297067e-05], [0.00090509480897053222, -1e-05, 0.13929945234542379, 0.028434550800230711, 0.00096791466229862106, 1.9991203870297067e-05], [0.13929945234542379, -2e-05, 0.015843685539119017, 0.0010258984232259614, -2e-05, 1.9991203870297067e-05]]","[[0.028853458324491064, -2e-05, 0.057686925445111843, 0.06729808115198542, -1e-05, 0.028853458324491064], [0.057686925445111843, -2e-05, -1e-05, -2e-05, 0.06729808115198542, 0.028853458324491064], [0.076909236858859031, -1e-05, -1e-05, -1e-05, 0.057686925445111843, 0.019242302617617477], [0.086520392565732601, -1e-05, -1e-05, -2e-05, 0.048075769738238246, 0.009631146910743885], [0.06729808115198542, -1e-05, 0.086520392565732601, 0.06729808115198542, 0.028853458324491064, 0.009631146910743885], [0.038464614031364655, -2e-05, 0.038464614031364655, 0.028853458324491064, -2e-05, 1.9991203870297064e-05]]","[[0.00036795257147424732, -2e-05, 0.1566026066256479, 0.0084145591973155964, -1e-05, 0.0089338382790714911], [0.0027166918028009119, -2e-05, -1e-05, -2e-05, 0.1566026066256479, 0.00054193325527622255], [0.1566026066256479, -1e-05, -1e-05, -1e-05, 0.1566026066256479, 0.0039209643484927077], [0.0032821290251573306, -1e-05, -1e-05, -2e-05, 0.0096977222188895356, 1.9991203870297081e-05], [0.0010150541964315935, -1e-05, 0.1566026066256479, 0.016306325233714558, 0.0010856783706917703, 1.9991203870297081e-05], [0.1566026066256479, -2e-05, 0.0028906724866028873, 0.0011508656485831354, -2e-05, 1.9991203870297081e-05]]"
