userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time,solutionCorrect,validationCorrect,solutionAndValidationCorrect,solutionTimeMinutes
3ac5170c,10,full,easy,TRUE,TRUE,204207,48035,25,4,1.5112E+12,1,1,1,3.40345
9dc50a3d,6,full,hard,FALSE,FALSE,492746,63819,75,0,1.5112E+12,0,0,0,8.212433333
99f511a0,10,verify,easy,TRUE,FALSE,113682,75705,2,4,1.5112E+12,1,0,0,1.8947
a0a4f4ea,10,full,medium,FALSE,FALSE,283909,79178,33,0,1.51119E+12,0,0,0,4.731816667
4eb4f441,10,pruned,easy,TRUE,TRUE,200409,52251,10,3,1.51119E+12,1,1,1,3.34015
31e3a167,10,verify,easy,TRUE,TRUE,139611,79915,9,3,1.51111E+12,1,1,1,2.32685
76c104da,10,full,easy,FALSE,FALSE,150347,44798,5,0,1.51192E+12,0,0,0,2.505783333
58d72aaf,10,full,easy,FALSE,FALSE,384940,27663,34,0,1.51232E+12,0,0,0,6.415666667
40f4f3b7,10,verify,medium,TRUE,TRUE,276270,64257,35,3,1.51119E+12,1,1,1,4.6045
c0dfd341,10,full,easy,TRUE,TRUE,379187,70760,48,4,1.5119E+12,1,1,1,6.319783333
67f69d24,10,full,easy,FALSE,FALSE,325599,64852,14,0,1.51228E+12,0,0,0,5.42665
9df4fabc,10,verify,easy,FALSE,FALSE,61926,20970,2,0,1.51119E+12,0,0,0,1.0321
abd12ee2,10,pruned,medium,TRUE,TRUE,144663,57940,17,3,1.51193E+12,1,1,1,2.41105
6db76212,10,pruned,medium,TRUE,TRUE,106394,30898,16,3,1.51233E+12,1,1,1,1.773233333
20a4fec4,10,full,easy,TRUE,FALSE,251055,42373,16,4,1.51119E+12,1,0,0,4.18425
efd11272,6,verify,easy,TRUE,TRUE,249387,189110,14,10,1.51192E+12,1,1,1,4.15645
5cd6bb63,10,full,easy,FALSE,FALSE,512198,64476,46,0,1.51229E+12,0,0,0,8.536633333
7db4f1d2,6,pruned,easy,TRUE,TRUE,122934,23840,19,3,1.51119E+12,1,1,1,2.0489
85e50169,10,full,medium,TRUE,TRUE,309684,36572,24,4,1.5112E+12,1,1,1,5.1614
81a6c621,10,full,medium,TRUE,FALSE,254567,53921,32,3,1.51229E+12,1,0,0,4.242783333
4fb692a0,10,pruned,easy,FALSE,FALSE,65579,78494,8,0,1.51228E+12,0,0,0,1.092983333
a0b4ff47,10,verify,easy,TRUE,FALSE,86305,125104,2,9,1.5112E+12,1,0,0,1.438416667
92b722f3,6,full,hard,FALSE,FALSE,354139,62893,38,0,1.51232E+12,0,0,0,5.902316667
6cc4f8b6,10,full,easy,FALSE,FALSE,337219,32226,47,0,1.51119E+12,0,0,0,5.620316667
ecefd3a0,10,pruned,medium,FALSE,FALSE,562340,12787,95,0,1.5119E+12,0,0,0,9.372333333
49d11228,10,verify,medium,FALSE,FALSE,256653,15110,20,0,1.51192E+12,0,0,0,4.27755
a2f6ba1d,6,full,hard,TRUE,FALSE,124721,69755,9,4,1.51229E+12,1,0,0,2.078683333
3ab7160d,10,pruned,easy,TRUE,TRUE,497554,23136,65,3,1.51232E+12,1,1,1,8.292566667
f8f1048b,10,verify,hard,TRUE,TRUE,301331,35185,56,4,1.51192E+12,1,1,1,5.022183333
c9affe07,10,verify,medium,FALSE,FALSE,283657,29570,43,0,1.51192E+12,0,0,0,4.727616667
bae3a17a,6,verify,hard,FALSE,FALSE,220526,188723,3,0,1.51111E+12,0,0,0,3.675433333
34cffc40,6,full,easy,TRUE,FALSE,369827,39002,35,5,1.51192E+12,1,0,0,6.163783333
64e101fa,10,verify,easy,FALSE,FALSE,38816,80456,2,0,1.51192E+12,0,0,0,0.646933333
8ea50714,10,pruned,hard,FALSE,FALSE,577712,38744,56,0,1.5112E+12,0,0,0,9.628533333
b7a4fe27,6,full,hard,FALSE,FALSE,83817,95046,12,0,1.51119E+12,0,0,0,1.39695
