AssignmentId,WorkerId,actionsSolution,actions_validation,board_size,board_type,bonus,condition,solved_correct,time,time_solution,time_validation,timestamp,userid,validated_correct
3MRNMEIQW6DDG3SCM98OVH3Y1V5LDT,AY5OS6NZWVX22,8,0,10,medium,0,full,FALSE,1.56E+12,94034,18913,,15b2249e,FALSE
3XXU1SWE8N22L00ED6V37W34DUXA07,A1PAY3X73PQ16S,7,3,6,easy,1,pruned,TRUE,1.56E+12,89862,32067,,1df22596,TRUE
36ZN444YTS52UZBVRFPREVN5O5IIO9,A1ZI4VU6650Q8B,33,0,6,easy,0,pruned,FALSE,1.56E+12,275932,99550,,9cf22841,FALSE
3B1NLC6UG036J8H1GR23IJFFJXOPG7,A3HE29W5IDR394,115,0,10,easy,0,full,FALSE,1.56E+12,571463,106651,,aca229a6,FALSE
3OSWBBLG1F48GX910SBC6BYL84IDXA,A28JANGJRFGGAZ,115,0,10,easy,0,full,FALSE,1.56E+12,569102,66395,,d5b22aaa,FALSE
3EFE17QCRDCHWWS4SEOFYOWRLH6SHN,A3FAF93BMDJLAL,15,7,10,hard,1,full,TRUE,1.56E+12,60857,54013,,c5e22eb3,TRUE
34BBWHLWHBIAZ8KXI1G1VP0RR7LIWP,A2QWTQ4I70BRWO,56,5,10,hard,1,full,TRUE,1.56E+12,288423,48530,,ecb22d03,TRUE
3EG49X351VJ9VOUMQ53Y05OTRIU6XA,A28IFWT5CR33RZ,70,4,10,easy,1,full,TRUE,1.56E+12,370925,17325,,8bc22e79,TRUE
32Z9ZLUT1MR2Y40BLX76EJMQOSFOHY,A3B43EHV3X455M,11,0,10,hard,0,full,FALSE,1.56E+12,57634,34415,,2bd232b2,FALSE
3H7XDTSHKDYW3HE2SDGYADNBCUPGWR,A2ZBDSR2LZNVAE,21,8,6,easy,1,full,TRUE,1.56E+12,143775,52206,,9ad23291,TRUE
3634BBTX0P18OMY2SC61R1ERW4RFIK,A1YSYI926BBOHW,9,0,6,easy,0,pruned,TRUE,1.56E+12,63490,6192,,16a2336c,FALSE
3J4Q2Z4UTZANG68GV9LA4RRDIH9WQD,A2766O35JUD7LO,12,0,10,easy,0,pruned,FALSE,1.56E+12,106694,49870,,fed230fb,FALSE
3QAVNHZ3ENBFIWP02ZHM5GVSGS8LAR,A1BM57TUNAQIXM,80,3,6,easy,1,pruned,TRUE,1.56E+12,341929,17409,,5ee23430,TRUE
3MB8LZR5BG0LU9YMEQUBZUYOL4FKLI,A16KMPWYUZO0M6,7,3,10,easy,1,pruned,TRUE,1.56E+12,112155,28632,,59f235f8,TRUE
3E7TUJ2EGDTIF1R3XC5YQ8C311OD9O,A44GF72UX2T66,43,0,6,easy,0,full,FALSE,1.56E+12,355643,39594,,bbc23545,FALSE
3EO896NRAX2E22095EWQK68S0S0JTK,A3DUZ6WCFZRLX9,28,0,6,easy,0,pruned,FALSE,1.56E+12,207579,187940,,69f239f6,FALSE
3DR23U6WE6L6RMEHRDLZNQV0VK7ETX,A3D2GO0IFRFN6R,67,10,10,easy,0,full,TRUE,1.56E+12,603083,172845,,39a23ae7,FALSE
31QNSG6A5S02KN7J17WYQK7WVK3871,A3P4253DFNPWIB,6,3,10,easy,1,pruned,TRUE,1.56E+12,83469,44699,,f7b241ec,TRUE
3IFS6Q0HJJQHSR3OYW60Y0X6LULIS6,A2581F7TDPAMBQ,35,0,10,easy,0,pruned,FALSE,1.56E+12,45691,20240,,f7e242af,FALSE
3HOSI13XH0VUIR4K9SA0C4VTSMNDDP,A33UVS8TAJCHSN,116,16,6,easy,0,full,TRUE,1.56E+12,558838,97870,,7af24207,FALSE
3FK0YFF9P0N26P4SRYAOOC77S1ZVVB,A25D8MUZP7CQEY,41,6,10,hard,0,full,TRUE,1.56E+12,277207,57969,,4bb243a6,FALSE
3X0H8UUIT2VZTMNTNDAFZR6E065WSF,A2E3TO92MCQ9XU,4,0,6,easy,0,full,FALSE,1.56E+12,27200,13552,,caa248ea,FALSE
3ZAK8W07I5LM09ECJBCU7XFYKYB0UX,A3IRT5NAX14OIT,13,4,6,easy,1,full,TRUE,1.56E+12,140772,49941,,fbc2482b,TRUE
33TIN5LC05HLDCMUT8SC3TM4JQEY93,A1PHDT66U6IK4Q,69,0,10,easy,0,full,FALSE,1.56E+12,573446,71582,,dec24cb0,FALSE
3IHR8NYAM88Q7SOHLQ029UICTU3P4C,A10HN5H1OV4VDW,23,4,10,medium,0,full,TRUE,1.56E+12,214456,44923,,bdf2527a,FALSE
33TIN5LC05HLDCMUT8SC3TM4JR19Y3,A1YGF0LJJGB30G,35,0,10,easy,0,full,FALSE,1.56E+12,603183,36702,,b6b25181,FALSE
3IXQG4FA2U5P04TJJGESVIO3YIC9BH,AOER0SPVGJQAM,35,10,10,hard,1,full,TRUE,1.56E+12,316126,102414,,bac25238,TRUE
3A0EX8ZRN9V4151RRS68UZHUY7SYBD,A397QMUM40C4SH,1,0,10,hard,0,pruned,FALSE,1.55E+12,15120,15867,,e6f42bb5,FALSE
3F0BG9B9MQUHZTY1EBUSPXVYFH27Y1,APEHS2JTA3FZJ,17,0,10,medium,0,full,FALSE,1.55E+12,204479,24201,,cbc42ba3,FALSE
3TXMY6UCAFVE282BEIL9SXKAHJCCQW,A188SHJZPHE8BA,22,4,6,easy,0,full,TRUE,1.55E+12,203734,65527,,2af42b8d,TRUE
30IQTZXKALDEHD87OGNHR4E25X20XO,A1EITLFAMKA61U,29,0,10,hard,0,full,TRUE,1.55E+12,162259,9171,,d1a42fc7,FALSE
3JZQSN0I3RHUSVS72O6Y6P1B89VFGF,A1L82EA5PNL5RO,49,0,10,hard,0,pruned,FALSE,1.55E+12,365857,32934,,f3b42f94,FALSE
3Q5C1WP23N85MJ9FET8MDQ6SHQY15I,A2F93SIUUV5HQH,17,3,10,hard,0,full,TRUE,1.55E+12,230716,61884,,90e4327c,FALSE
34QN5IT0T0YO2C7ZG8BPB5X9EOT80O,A2KVYRNL2CK95F,38,4,10,hard,0,full,TRUE,1.55E+12,296759,123713,,8af4330d,FALSE
3KGTPGBS6YSTWJHQYYG8QL8D8D52UI,A1F34ZP6YNI98F,12,0,10,medium,0,full,FALSE,1.55E+12,69020,25052,,fdb43452,FALSE
39JEC7537V867GYS0HFJYKJIYBRCVQ,A27186NOW2EVJJ,19,9,10,hard,0,pruned,TRUE,1.55E+12,358414,105858,,2be432b7,TRUE
3Z7ISHFUH12L4XDPK2OHH40VWVI8ZM,A2YAYHZYI7M3HD,3,0,10,easy,0,pruned,FALSE,1.55E+12,22150,13676,,cda434a5,FALSE
3TAYZSBPLMFDH6PM9TL8BKQPNGK2S2,A11EL5LWS2L1HX,81,0,6,easy,0,full,FALSE,1.55E+12,553131,30971,,4de431b1,FALSE
339ANSOTR69J48QGTNXY7E6WVI9IKH,A6MWJK1YEY5L2,8,4,6,easy,0,full,TRUE,1.55E+12,166748,61094,,d4c433e6,TRUE
384PI804XT86LWM8U6HUSWXAQI00SG,A1JV64BL3WCK0G,102,0,10,medium,0,full,FALSE,1.55E+12,577321,28911,,d0e4332c,FALSE
37XITHEISXGEE9HBRXA9XNUFD5ECRX,A2H5UA2MUBT4QX,27,0,10,medium,0,full,FALSE,1.55E+12,272179,284301,,8cc432fc,FALSE
3WJEQKOXA992SPLW9PZ3L1ME94ZA1X,A3LYQ5490FJYXK,21,0,10,easy,0,full,FALSE,1.55E+12,155386,52010,,92d4349b,FALSE
3SNVL38CI5ZSR54G1D1CWB81IDKCK4,A31FD3QCYZ28Q2,57,5,10,hard,0,full,TRUE,1.55E+12,601525,110360,,18a4334a,FALSE
33TIN5LC05HLDCMUT8SC3TM4A7PY93,ANQ0RLFEZ17W0,26,3,6,easy,0,pruned,TRUE,1.55E+12,401900,50522,,27e436f9,TRUE
3K3R2QNK8CA4W32PJ7VN08GREJN9UP,A1BQTDDVCHQM5T,11,0,10,easy,0,full,FALSE,1.55E+12,464413,86269,,f8c437b8,FALSE
3R0T90IZ1TJNPJ8XBMGXYJG8BWECGC,A2C6HMH2FDM2CI,13,0,10,easy,0,pruned,FALSE,1.55E+12,96173,27531,,f8a4386a,FALSE
33IZTU6J828EIMSJXI611AKL0PKSX2,A1UGFNSA16TKA0,13,0,10,hard,0,pruned,FALSE,1.55E+12,184215,41581,,25b43b96,FALSE
3P59JYT76MREW621YTQYLPMBPZY2TR,AYXKSQMCPXEZF,10,5,10,hard,0,pruned,TRUE,1.55E+12,225244,29284,,e2a43b2c,FALSE
3CCZ6YKWR8QNBOCAI6NFSWOBF2M59V,A125AOX978LDG7,11,0,10,hard,0,full,TRUE,1.55E+12,135865,8137,,a5d43d8e,FALSE
3HFNH7HEMILRJKIGG4HSIO5PFBJQGZ,A1WJ3EZ6LXN7B1,20,4,10,hard,0,pruned,TRUE,1.55E+12,117330,57516,,74d43e43,TRUE
3M1CVSFP61CQ9T5DU4PIM2UMHG9QAQ,A39ROW50DWRRKT,11,0,10,easy,0,pruned,FALSE,1.55E+12,65987,67213,,b0f44295,FALSE
3VD82FOHKRVBHWPVZ5T53SPA2IDCO7,ABL81LYVZUKYE,15,0,10,easy,0,full,FALSE,1.55E+12,116478,31776,,15c4420d,FALSE
3LYA37P8IRU9H0CAND5HLR2J0SWKBH,AEKJ0Q3OITMRJ,8,4,10,hard,0,pruned,TRUE,1.55E+12,119448,49624,,fbf441ba,TRUE
32SCWG5HIIB4MFSV4ETH6S2QG116PT,AFSGRTCIUF123,78,0,10,medium,0,full,FALSE,1.55E+12,223720,18034,,a8b44557,FALSE
