userid,size,type,condition,solved,correct,explore_time,exploit_time,num_unique_first_moves,num_resets,num_moves_win_score,mean_score,num_restarts,solution_time,median_score,number_of_moves,typeSize
17e120dd,6,hard,full,solvedCorrect,wrong,51.6598,47.634,1.631578947,1.307692308,1.666666667,3.619598957,1.571428571,3.301730208,2.113067295,1.899408284,6hard
26dbf6e9,6,hard,full,wrong,wrong,11.0555,9.976,1.210526316,1.153846154,1.666666667,3.738061854,1.095238095,1.501156572,2.137096751,1.284023669,6hard
32ebf2e8,6,hard,full,validatedCorrect,correct,42.62033333,33.491,1.421052632,1.153846154,1.666666667,2.792886905,1.19047619,2.032550821,2.093484419,1.686390533,6hard
38ebbf94,6,hard,full,validatedCorrect,correct,23.85175,21.13275,1.631578947,1.230769231,1,2.792130014,1.380952381,1.837750744,1.516033994,1.639053254,6hard
3df11bae,6,hard,full,wrong,wrong,62.777,52.5685,1.210526316,1.076923077,1.666666667,3.343770608,1.095238095,3.225755167,2.093484419,1.520710059,6hard
67eac875,6,hard,full,wrong,wrong,10.94471429,7.326857143,1.842105263,1.461538462,2,3.467192524,1.571428571,2.108378246,1.631629473,2.112426036,6hard
69bad0fe,6,hard,full,wrong,wrong,19.2918,15.95626667,2.263157895,2.076923077,2.333333333,3.727345209,3,4.148792574,2.113067295,2.964497041,6hard
70da8cfb,6,hard,full,wrong,wrong,33.62075,25.9875,1.631578947,1.230769231,2.333333333,3.620207558,1.571428571,2.45371129,2.113067295,1.710059172,6hard
87b50908,6,hard,full,validatedCorrect,correct,14.59666667,11.3515,1.421052632,1.384615385,2,3.933829189,1.476190476,1.738470077,2.161126207,1.639053254,6hard
8fc76287,6,hard,full,solvedCorrect,wrong,32.73628571,22.84785714,1.631578947,1.461538462,3,2.906051949,1.571428571,3.200258919,2.113067295,2.325443787,6hard
8fcbec83,6,hard,full,validatedCorrect,correct,21.54666667,10.20266667,2.263157895,1.615384615,1,2.451266398,1.857142857,4.001454018,1.314334567,1.875739645,6hard
91cfd7fb,6,hard,full,wrong,wrong,126.292,120.919,1.631578947,1.076923077,2,3.234022489,1.476190476,3.892708209,2.113067295,2.017751479,6hard
94d6ef33,6,hard,full,wrong,wrong,26.73021429,8.179071429,2.052631579,2,1.333333333,3.057147649,2.333333333,3.898465236,2.113067295,2.136094675,6hard
9adbc2df,6,hard,full,wrong,wrong,22.85,16.8585,1.842105263,1.230769231,1.333333333,3.673779148,1.285714286,2.113651092,1.602819275,1.307692308,6hard
9dc50a3d,6,hard,full,solvedCorrect,wrong,25.08272727,17.55509091,2.263157895,1.769230769,3,2.696652854,2.238095238,3.478178654,1.395127623,2.609467456,6hard
a2f6ba1d,6,hard,full,wrong,wrong,42.635,9.179,1,1,1.666666667,2.790942501,1,1.75050374,2.161126207,1.094674556,6hard
b0d518a1,6,hard,full,solvedCorrect,wrong,16.1385,9.753777778,2.684210526,2.307692308,1.666666667,2.890687554,2.714285714,3.790835404,2.113067295,2.538461538,6hard
bcdfd2df,6,hard,full,wrong,wrong,52.8198,24.018,2.052631579,1.307692308,1.666666667,2.154527829,1.476190476,3.481420303,1.400411632,2.183431953,6hard
bed50a1d,6,hard,full,wrong,wrong,9.63875,7.85025,1.210526316,1.230769231,2,2.527079319,1.285714286,2.449117477,2.113067295,1.544378698,6hard
c7a67aab,6,hard,full,validatedCorrect,correct,13.2924,10.5273,1.210526316,1.692307692,2,2.792134701,1.857142857,2.048339836,2.113067295,2.159763314,6hard
c8a4fa50,6,hard,full,wrong,wrong,49.68971429,44.24957143,1.842105263,1.461538462,1.333333333,2.669072043,1.952380952,3.982517828,1.951947737,2.230769231,6hard
dbe71b15,6,hard,full,wrong,wrong,6.196,4.979,1.421052632,1,1.666666667,3.738391668,1.095238095,1.249778207,2.398173238,1.284023669,6hard
dcc4f10e,6,hard,full,wrong,wrong,14.205,10.011,1,1,2,3.234092333,1.095238095,1.279454942,2.113067295,1.307692308,6hard
dfe6bee3,6,hard,full,wrong,wrong,21.94866667,16.956,1.842105263,1.384615385,2,3.375175098,1.476190476,2.049520764,2.161126207,1.75739645,6hard
efebc5bb,6,hard,full,wrong,wrong,38.514,27.155,1.210526316,1,1,2.05531218,1,3.546005288,1.203966006,1.165680473,6hard
f3dbeb7e,6,hard,full,wrong,wrong,36.555,33.17833333,1.631578947,1.153846154,1.333333333,2.21641858,1.285714286,2.414120658,2.113067295,1.49704142,6hard
f6fbf6b1,6,hard,full,wrong,wrong,50.564125,42.79525,2.473684211,1.538461538,3,2.567699028,1.761904762,4.090448797,1.342776204,3.059171598,6hard
fac10d6e,6,hard,full,wrong,wrong,51.848,47.147,1.631578947,1.076923077,1.666666667,3.045648697,1.19047619,2.234040857,1.271834422,1.568047337,6hard
2afbbf79,6,hard,pruned,wrong,wrong,21.97466667,17.13566667,1.631578947,1.384615385,2.333333333,2.616857364,1.285714286,1.708368208,1.355701133,1.852071006,6hard
2ff50f64,6,hard,pruned,wrong,wrong,7.371,4.595,1.421052632,1,1.333333333,3.895653944,1.095238095,1,1.733764526,1.094674556,6hard
30e4feac,6,hard,pruned,wrong,wrong,16.37666667,12.59233333,1.631578947,1.153846154,1.333333333,2.423828604,1.285714286,2.241870414,1.41201509,1.378698225,6hard
5adff9a5,6,hard,pruned,wrong,wrong,12.00528571,7.933,2.052631579,1.461538462,1.666666667,2.792533871,1.666666667,2.114572216,2.103275857,1.473372781,6hard
6dd103e2,6,hard,pruned,validatedCorrect,correct,24.3085,16.29675,1.421052632,1.230769231,2.333333333,2.792565846,1.380952381,1.820857561,2.062075794,1.686390533,6hard
7dd704e0,6,hard,pruned,validatedCorrect,correct,16.60794118,13.98782353,2.052631579,2.307692308,5,3.575718583,2.523809524,4.065489871,2.113067295,3.153846154,6hard
81c11c9f,6,hard,pruned,validatedCorrect,correct,21.071,17.914,1.210526316,1,1.666666667,3.236113928,1,2.260877459,2.603067006,1.307692308,6hard
92a74a76,6,hard,pruned,validatedCorrect,correct,18.4646,16.256,1.210526316,1.307692308,3,3.360083088,1.380952381,2.393354029,2.113067295,1.781065089,6hard
a0f4f1bf,6,hard,pruned,wrong,wrong,55.787,47.298,1.421052632,1.307692308,2.333333333,2.340198535,1.476190476,3.118916557,1.44310921,1.99408284,6hard
