num_unique_first_moves,num_resets,exploit_time,num_moves_win_score,mean_score,num_restarts,userid,solution_time,solved,board_name,size,type,condition,typeSize,median_score,explore_time,number_of_moves
4,3,0.4025,1,1431.921287,6,14b4c043,195.859,wrong,6_hard_full,6,hard,full,6hard,6.332937926,54.7665,11
6,4,14.33,2,7.248126214,7,14c5dc72,212.673,wrong,6_hard_full,6,hard,full,6hard,8.430386905,21.337,17
4,4,5.491333333,3,1671.958215,5,17b4c1ea,399.893,wrong,6_hard_full,6,hard,full,6hard,8.430386905,29.04366667,23
4,6,8.889857143,2,745.0070607,10,17e120dd,448.077,validatedCorrect,6_hard_full,6,hard,full,6hard,5.984672619,13.58585714,40
8,0,5.9925,3,-1956.014432,29,22dac859,562.645,wrong,6_hard_full,6,hard,full,6hard,1.083475057,7.5755,71
1,3,26.077,2,-450.4383926,3,24a5e25a,140.319,wrong,6_hard_full,6,hard,full,6hard,5.332121599,27.7035,19
3,3,37.795,2,-827.5790321,4,24f4c091,233.232,wrong,6_hard_full,6,hard,full,6hard,7.726478175,50.033,32
2,4,9.976,2,1181.046563,3,26dbf6e9,143.135,wrong,6_hard_full,6,hard,full,6hard,8.157467404,11.0555,14
3,4,33.491,2,292.4841869,4,32ebf2e8,233.131,wrong,6_hard_full,6,hard,full,6hard,8.157467404,42.62033333,31
2,2,4.848,1,-993.9510204,3,37f61258,36.802,wrong,6_hard_full,6,hard,full,6hard,6.541666665,7.358,8
4,5,21.13275,0,-286.8997013,6,38ebbf94,200.14,wrong,6_hard_full,6,hard,full,6hard,9.578733702,23.85175,29
2,2,8.087,1,2002.655353,3,3af4bfbb,173.844,wrong,6_hard_full,6,hard,full,6hard,8.430386905,36.472,8
3,4,19.39666667,1,1256.62691,5,3bb613b2,271.535,wrong,6_hard_full,6,hard,full,6hard,8.430386905,27.93366667,20
3,3,33.29,2,2505.574702,3,3cd60baf,371.221,wrong,6_hard_full,6,hard,full,6hard,11.84019345,59.3685,13
2,3,52.5685,2,746.3294487,3,3df11bae,435.21,validatedCorrect,6_hard_full,6,hard,full,6hard,12.08333333,62.777,24
