,Unnamed: 0,Unnamed: 0.1,userid,board_name,board_size,board_type,condition,size_type,solved,action,time,time_rel,time_rel_sec,player,num_possible_moves,path,path_number,board_state,position,path_after,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action,last_move,aperture,open_path,solution,fitted_heuristic,score_heuristic,potential_score_heuristic
0,0,0,11d4bf94,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,48569,48.569,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",5_2,"[[5, 2, 1]]",48.416,0.0,,1.0,1,True,1.52e+12,False,0,False,c1,density,0.1875,0.4375
7,7,7,14b4c043,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,39126,39.126,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",2_3,"[[2, 3, 1]]",39.048,0.0,,1.0,1,True,1.52e+12,True,0,False,c3,interaction_blind,7.09764314059,2.23399801587
21,21,21,14c5dc72,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,43949,43.949,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",3_0,"[[3, 0, 1]]",43.932,0.0,,1.0,1,True,1.52e+12,True,0,False,c3,blocking,12.0833333333,10.0
42,42,42,17b4c1ea,6_hard_full,6,hard,full,6hard,validatedCorrect,click,1.52e+12,42425,42.425,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",2_3,"[[2, 3, 1]]",42.391,0.0,,1.0,1,True,1.52e+12,False,0,False,d6,blocking,8.43038690476,100.0
74,74,74,17e120dd,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.51e+12,31896,31.896,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",2_2,"[[2, 2, 1]]",31.789,0.0,,1.0,1,True,1.51e+12,False,0,False,d6,interaction,5.45712159864,100.0
135,135,135,18dac9ef,6_hard_full,6,hard,full,6hard,wrong,click,1.51e+12,88573,88.573,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",0_3,"[[0, 3, 1]]",88.555,0.0,,1.0,1,True,1.51e+12,False,0,False,d1,blocking_blind,15.25,10.0
140,140,140,20bfd7bd,6_hard_full,6,hard,full,6hard,wrong,click,1.51e+12,11065,11.065,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",2_2,"[[2, 2, 1]]",10.985,0.0,,1.0,1,True,1.51e+12,False,0,False,c3,interaction_blind,4.12437783447,2.23399801587
151,151,151,22dac859,6_hard_full,6,hard,full,6hard,wrong,click,1.51e+12,46381,46.381,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",4_3,"[[4, 3, 1]]",46.369,0.0,,1.0,1,True,1.51e+12,True,0,False,d4,blocking_blind,2.59437783447,1.92837159864
285,285,285,24a5e25a,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.52e+12,10708,10.708,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",0_3,"[[0, 3, 1]]",10.694,0.0,,1.0,1,True,1.52e+12,False,0,False,d6,blocking_blind,15.25,10.0
307,307,307,24b61c03,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,41862,41.862,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",0_5,"[[0, 5, 1]]",41.756,0.0,,1.0,1,True,1.52e+12,False,0,False,f6,interaction_blind,0.651112528345,1.14
312,312,312,24f4c091,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,31614,31.614,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",0_3,"[[0, 3, 1]]",31.552,0.0,,1.0,1,True,1.52e+12,False,0,False,a5,blocking_blind,15.25,10.0
348,348,348,25a611ff,6_hard_full,6,hard,full,6hard,solvedCorrect,click,1.52e+12,24869,24.869,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",0_3,"[[0, 3, 1]]",24.828,0.0,,1.0,1,True,1.52e+12,True,0,False,d6,blocking_blind,15.25,10.0
350,350,350,25b60fb4,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,4462,4.462,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",2_2,"[[2, 2, 1]]",4.424,0.0,,1.0,1,True,1.52e+12,False,0,False,A3,density,0.5,0.375
375,375,375,25c4c0ab,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,13009,13.009,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",2_2,"[[2, 2, 1]]",12.993,0.0,,1.0,1,True,1.52e+12,False,0,False,c4,non-linear,1.83333333333,3.30555555556
382,382,382,26dbf6e9,6_hard_full,6,hard,full,6hard,validatedCorrect,click,1.51e+12,16003,16.003,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",0_3,"[[0, 3, 1]]",15.991,0.0,,1.0,1,True,1.51e+12,False,0,False,d6,blocking,15.6927437642,10.0
400,400,400,31e63b91,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,37862,37.862,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",3_4,"[[3, 4, 1]]",37.852,0.0,,1.0,1,True,1.52e+12,False,0,False,0,interaction_blind,1.62274518141,1.08347505669
424,424,424,32ebf2e8,6_hard_full,6,hard,full,6hard,validatedCorrect,click,1.51e+12,30427,30.427,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",0_3,"[[0, 3, 1]]",30.411,0.0,,1.0,1,True,1.51e+12,False,0,False,d6,blocking_blind,15.25,10.0
459,459,459,37f60bbc,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,58029,58.029,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",2_2,"[[2, 2, 1]]",58.015,0.0,,1.0,1,True,1.52e+12,True,0,False,c4,interaction,5.45712159864,100.0
460,460,460,37f61258,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,6500,6.5,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",0_3,"[[0, 3, 1]]",6.448,0.0,,1.0,1,True,1.52e+12,False,0,False,a1,density,0.3125,0.4375
470,470,470,38ebbf94,6_hard_full,6,hard,full,6hard,wrong,click,1.51e+12,54462,54.462,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",3_0,"[[3, 0, 1]]",54.435,0.0,,1.0,1,True,1.51e+12,False,0,False,c1,blocking_blind,12.0833333333,10.0
504,504,504,3af4bfbb,6_hard_full,6,hard,full,6hard,wrong,click,1.52e+12,69843,69.843,1.0,25.0,[],1,"[[0, 2, 0, 0, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",3_2,"[[3, 2, 1]]",69.826,0.0,,1.0,1,True,1.52e+12,False,0,False,d4,interaction_blind,7.09764314059,2.23399801587
