Row Labels,Average of numberOfMoves,Average of numberOfPaths,Average of averagePathDepth
easy,31.43421053,10.30263158,4.116874253
6,25.97222222,9.222222222,3.629915585
full,32.53125,11.28125,3.879944858
pruned,20.725,7.575,3.429892167
10,36.35,11.275,4.555137055
full,41.72,12.42,4.980257258
pruned,27.4,9.366666667,3.846603383
hard,27.07751938,8.581395349,4.797383645
6,26.64705882,8.926470588,4.839935121
full,31.69230769,11.46153846,4.974658488
pruned,19.86206897,5.517241379,4.658755421
10,27.55737705,8.196721311,4.749949212
full,22.83333333,6.6,4.902305527
pruned,32.12903226,9.741935484,4.602507618
medium,25.65714286,9.3,5.236017359
10,25.65714286,9.3,5.236017359
full,27.15789474,8.236842105,6.361675095
pruned,23.875,10.5625,3.899298798
Grand Total,28.68091168,9.47008547,4.590166928
