boardSize,boardType,condition,userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart,confidence,correctness
6,hard,full,17e120dd,40,21,94,15,6,5,TRUE
6,hard,full,18dac9ef,5,1,5,0,0,2,FALSE
6,hard,full,20bfd7bd,10,2,10,0,1,5,FALSE
6,hard,full,22dac859,71,60,291,59,0,2,FALSE
6,hard,full,26dbf6e9,14,3,14,0,3,3,TRUE
6,hard,full,32ebf2e8,31,4,31,0,4,3,TRUE
6,hard,full,38ebbf94,28,6,28,0,5,4,FALSE
6,hard,full,3df11bae,23,4,23,0,3,3,TRUE
6,hard,full,44a4fa14,5,1,5,0,0,4,FALSE
6,hard,full,5edbbf73,13,11,27,10,0,3,FALSE
6,hard,full,67eac875,49,8,49,0,8,4,FALSE
6,hard,full,69bad0fe,85,37,131,20,16,2,FALSE
6,hard,full,6bf51f66,11,7,19,6,0,5,FALSE
6,hard,full,70da8cfb,32,10,35,5,5,4,TRUE
6,hard,full,87b50908,29,7,29,0,7,,TRUE
6,hard,full,8fc76287,58,11,68,2,8,3,TRUE
6,hard,full,8fcbec83,39,11,39,0,10,1,FALSE
6,hard,full,91cfd7fb,45,32,112,29,3,5,TRUE
6,hard,full,92b722f3,33,24,166,23,0,3,FALSE
6,hard,full,94d6ef33,50,20,58,6,14,2,FALSE
6,hard,full,9adbc2df,15,5,15,0,5,4,TRUE
6,hard,full,9dc50a3d,70,18,84,5,12,5,FALSE
6,hard,full,a2f6ba1d,6,2,6,0,2,5,TRUE
6,hard,full,b0d518a1,66,24,76,4,19,1,FALSE
6,hard,full,b7a4fe27,9,1,9,0,0,,FALSE
6,hard,full,bae515f2,12,2,12,0,1,5,FALSE
6,hard,full,bcdfd2df,52,8,57,1,6,1,FALSE
6,hard,full,bed50a1d,25,5,25,0,5,5,TRUE
6,hard,full,c7a67aab,51,11,51,0,11,2,FALSE
6,hard,full,c8a4fa50,54,24,80,15,8,3,FALSE
6,hard,full,cceac8ca,15,2,15,0,1,4,FALSE
6,hard,full,dbe71b15,14,5,17,2,2,5,FALSE
6,hard,full,dcc4f10e,15,3,15,0,2,4,FALSE
6,hard,full,dfcbf407,13,3,18,2,0,3,FALSE
6,hard,full,dfe6bee3,34,9,45,2,7,2,TRUE
6,hard,full,eec7360c,9,2,9,0,1,3,FALSE
6,hard,full,efebc5bb,9,2,9,0,2,1,TRUE
6,hard,full,f1ebd0b7,1,1,1,0,0,2,FALSE
6,hard,full,f3dbeb7e,23,6,29,1,4,4,FALSE
6,hard,full,f6fbf6b1,89,38,255,28,9,1,FALSE
6,hard,pruned,13e4f569,0,0,0,0,0,2,FALSE
6,hard,pruned,16d516ad,7,1,7,0,0,,FALSE
6,hard,pruned,1dac01e7,27,27,80,27,0,4,FALSE
6,hard,pruned,25cfdeaf,15,4,16,2,1,4,FALSE
6,hard,pruned,2afbbf79,38,9,52,4,4,5,FALSE
6,hard,pruned,2ff50f64,5,2,5,0,1,2,FALSE
6,hard,pruned,30e4feac,18,5,18,0,4,5,FALSE
6,hard,pruned,49c72e9b,5,1,5,0,0,5,FALSE
6,hard,pruned,4bca7fc9,7,1,7,0,0,2,FALSE
6,hard,pruned,5adff9a5,21,8,21,0,7,4,FALSE
6,hard,pruned,5dbfe29c,13,7,28,6,0,,FALSE
6,hard,pruned,65afea1f,7,1,7,0,0,3,FALSE
6,hard,pruned,6bb10472,7,1,7,0,1,5,TRUE
6,hard,pruned,6dd103e2,31,9,43,3,5,5,FALSE
6,hard,pruned,74e11ee8,1,1,1,0,1,4,TRUE
6,hard,pruned,7dd704e0,92,18,92,0,18,5,TRUE
6,hard,pruned,81c11c9f,15,2,15,0,2,5,TRUE
6,hard,pruned,92a74a76,35,6,35,0,6,4,FALSE
6,hard,pruned,a0f4f1bf,44,20,108,14,6,2,TRUE
6,hard,pruned,a2ebe618,6,2,6,0,1,5,FALSE
6,hard,pruned,aafbd6ab,20,10,32,5,4,1,FALSE
6,hard,pruned,b0e1157c,16,5,20,1,3,4,FALSE
6,hard,pruned,b7dbead6,0,0,0,0,0,2,FALSE
6,hard,pruned,b9e512db,20,4,20,0,3,5,FALSE
6,hard,pruned,c7fffe38,27,5,27,0,4,4,FALSE
6,hard,pruned,d4fac87b,12,3,12,0,2,5,FALSE
6,hard,pruned,daefd33a,5,1,5,0,0,3,FALSE
6,hard,pruned,e0a737b6,5,1,5,0,0,3,FALSE
6,hard,pruned,e1e500d7,7,1,7,0,1,4,TRUE
6,hard,pruned,e9dbbf8a,15,3,15,0,3,2,TRUE
6,hard,pruned,eba732b3,1,1,1,0,1,4,TRUE
6,hard,pruned,f8bbc519,1,1,1,0,0,3,FALSE
6,hard,pruned,fcaffad4,67,13,157,8,4,3,FALSE
10,hard,full,13f4ff5a,26,8,28,3,4,5,FALSE
10,hard,full,1cdbeb89,1,1,1,0,0,3,FALSE
10,hard,full,1df6940e,9,1,9,0,1,4,TRUE
10,hard,full,1fbbc8ec,0,0,0,0,0,5,FALSE
10,hard,full,1ff4f828,20,11,21,6,4,5,FALSE
10,hard,full,21abc061,35,16,81,14,1,1,FALSE
10,hard,full,23dbc11c,18,3,18,0,3,5,FALSE
