userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
3ac5170c,22,4,22,0,4
76c104da,3,3,4,1,1
58d72aaf,33,11,37,2,8
c0dfd341,45,23,67,19,4
67f69d24,11,7,21,6,0
20a4fec4,7,5,10,3,2
5cd6bb63,45,5,52,1,3
6cc4f8b6,44,10,44,0,9
6cd50fc7,41,8,41,0,8
56e6f5d2,30,8,30,0,7
c8c4f85a,21,15,53,14,1
6ac7311a,71,16,77,2,14
8de6a2af,7,1,7,0,1
2fe692a5,5,1,5,0,1
31b4fc9e,27,6,27,0,6
dacfd3d4,74,24,128,17,6
a2d68973,12,2,12,1,0
b8a4fbaa,23,10,23,0,9
9ae751bc,36,9,36,0,9
37bffc4e,29,9,43,5,4
daf74d3f,12,6,14,5,1
fcf4f6d3,26,23,91,21,1
d0e6841e,76,17,76,0,17
92a70054,48,39,95,31,8
d6c10e9a,48,5,48,0,4
26e680e4,58,16,65,2,13
b4a4f22a,67,17,76,7,9
cff10c9a,31,9,31,0,9
cccfd3ac,82,14,82,0,14
55c68fc5,85,20,85,0,20
23b6924e,92,29,106,6,22
70bffd4d,71,18,92,4,13
acc6e9d4,73,24,98,8,16
