userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
1df6940e,9,1,9,0,1
1ff4f828,20,11,21,6,4
92e6f512,9,1,9,0,1
65f68460,12,3,12,0,3
34b12db9,15,1,15,0,1
28e67c08,9,1,9,0,1
2fb4f99a,11,2,11,0,2
98d105c1,15,7,19,6,1
abc728e1,14,2,14,0,2
13f4ff5a,26,8,28,3,4
75ffd9e8,28,8,28,0,7
add50f98,22,6,22,0,5
8bc69c49,81,21,81,0,20
b5b6dcbc,34,23,70,18,4
7cf6845b,36,10,37,1,8
edf12206,30,10,41,4,5
9befd8ad,15,7,19,6,0
87cfed83,2,2,2,0,2
a4f74985,35,8,36,1,6
f0ebc21e,24,6,24,0,5
1fbbc8ec,0,0,0,0,0
23dbc11c,18,3,18,0,2
21abc061,35,15,88,13,1
b1ebd3b5,4,4,4,0,3
f7ebbfe9,63,8,63,0,7
d2ac158a,22,4,25,1,2
1cdbeb89,1,1,1,0,0
84dbf4f9,16,4,16,0,3
26dbf473,1,1,1,0,0
f6fbf7bf,32,3,32,0,2
aceaccbc,46,17,46,0,16
