userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
8ea50714,53,11,53,0,10
1bd72c42,5,1,5,0,1
18a695e2,66,15,66,0,14
8aa6d830,66,14,66,0,14
31f6a576,67,13,84,2,11
4bfffc8c,8,2,11,1,0
98c10b8a,15,3,15,0,2
edfff93e,13,3,13,0,2
e2b10de5,36,14,60,10,4
f3f4f4ae,7,3,7,2,0
bcf51783,9,5,15,4,0
28d4fefb,47,11,47,0,11
13b7468e,13,7,28,6,1
5bc4f225,14,2,14,0,2
fad517c1,0,0,0,0,0
efd4fa4a,27,21,74,20,0
cdc514e1,68,24,103,14,9
d1f5198a,0,0,0,0,0
50f6b001,27,21,83,20,0
7ef11f8d,33,9,33,0,8
fcb764e3,25,7,25,0,7
e6efec72,52,14,60,4,10
16f6e58d,41,9,41,0,8
cce7504c,81,18,85,2,15
f4c4f33c,23,5,23,0,4
d9e4f7e5,7,1,7,0,1
bacbc468,5,1,5,0,0
13dbbfb8,30,22,141,21,0
c2cbff2e,3,1,3,0,0
b8bac8b7,22,3,22,0,2
32fad07f,23,11,42,9,1
d1cac84b,67,21,72,3,17
41bad9a2,43,10,44,1,8
