userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
7db4f1d2,16,4,16,0,4
faafd1c6,1,1,1,0,1
33b693e2,28,5,29,2,2
c9c757af,5,1,5,0,1
48c70a00,29,6,29,0,6
82d50e5b,0,0,0,0,0
ddb7456a,9,3,9,1,2
55a709fd,21,6,21,0,5
6fc70a09,30,9,30,0,9
8ab71c6b,11,5,18,3,2
6aa4f436,1,1,1,1,0
b7e510d3,6,2,6,0,2
62b5140d,1,1,1,0,0
d2d73ea5,19,15,51,14,0
1de715c7,5,5,9,4,0
11dfe866,16,4,16,0,4
c8afed22,41,7,52,3,4
16e512d0,27,11,31,4,7
96afd320,18,14,32,13,1
58e72ee8,20,4,20,0,4
dfa705b9,46,10,46,0,10
7cc119e0,22,7,26,1,6
9db10b00,8,2,8,0,2
19a105e3,56,18,64,5,13
e1b100ae,44,23,71,16,7
4dc50d03,49,10,63,4,6
4dfbc07c,1,1,1,0,0
1fdbc072,5,2,5,0,1
6cbbcdf7,30,7,30,0,6
67abc3ab,96,27,105,4,22
edbbcb60,39,22,76,15,6
7acbc3e2,17,6,20,1,4
2dfbc35a,7,3,13,2,0
12ebbfd2,5,1,5,0,0
94abbfb2,14,6,14,0,5
dcfbe5af,12,5,16,2,2
edbbea2c,4,4,4,3,0
c0cbeef2,7,2,7,0,1
67abf219,37,33,101,32,0
33ebe68d,21,6,21,0,5
adfac866,5,4,7,3,0
